2019-11-17 05:02:44.820661
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2,25,0,0,129437,55525,17246,11967,2723,1593,1112,1668
3,25,0,0,1160053,52397,15648,10050,15276,6481,8047,2157
4,0,0,0,1534345,34300,10536,10871,21531,9780,7378,1472
5,0,0,0,949070,55124,35908,16084,22749,5408,5750,1626
6,0,0,0,509744,7757,408,1412,7088,2056,834,222
7,26,0,0,934690,15688,2343,2125,12629,1428,4874,1071
8,26,30,51,1871135,35440,1241,12275,36184,17399,17016,1849
9,0,27,51,369463,13625,2116,4309,14343,1884,2820,879
10,0,38,63,1083068,15324,6724,28309,31859,19952,9801,4135
11,0,38,63,682330,2003,989,481,2778,3601,5942,427
12,26,48,63,1407332,61565,17092,25060,20973,9435,6273,1481
13,0,48,63,122314,1696,222,332,939,587,741,119
14,26,48,64,2580768,53271,14254,2325,22002,35403,12689,1364
15,0,44,54,1507097,95242,20877,3791,33626,3946,17276,1381
16,0,41,38,1117627,39740,5641,18092,15897,5533,8851,1801
17,0,24,37,845734,17197,1473,3244,8829,1596,1592,650
18,0,47,26,1801186,14825,3828,19376,16110,6669,14611,1766
19,0,56,38,2200077,69496,10581,21124,18502,11266,5596,1588
20,0,56,38,990649,49780,22445,24105,13578,13401,1631,1814
21,26,56,38,547894,15138,20246,9591,5048,5500,2283,430
22,26,61,41,2264532,84109,37566,26869,22941,16481,4697,1211
23,0,57,44,1985900,50134,6486,7515,37074,7664,17974,3021
24,0,63,41,1118822,23797,20978,19307,19552,7385,12195,1623
25,0,69,35,1953170,84565,31265,23727,22665,9208,14968,1194
26,0,66,27,895946,53231,17633,13304,23553,5112,12577,1841
27,0,93,23,796645,61531,32954,25601,17412,7408,8096,4000
28,0,77,20,158485,43177,12644,4656,10828,4726,457,411
29,0,88,20,1539687,50884,19809,52190,14287,8626,12755,644
30,0,81,24,1248674,61599,10604,10652,8437,7954,2074,1725
31,0,67,17,244180,80356,18323,10934,12838,3644,6198,920
32,0,81,17,2435436,151071,103585,40904,43097,23196,16268,3047
33,0,81,17,188651,202805,64591,50599,43235,28403,8214,3354
34,26,81,17,2031754,245830,21503,9617,104803,54840,67669,23899
35,51,81,17,1725456,530412,30595,172434,165303,70133,66772,72348
36,51,81,17,978056,49891,196591,48515,20099,20251,21361,15473
37,51,81,17,455760,97118,21170,34374,29812,16592,12218,16653
38,51,81,17,952193,75700,20710,35640,32002,42100,5518,6212
39,51,81,17,1802869,566587,121489,199845,189115,132968,72246,38885
40,51,0,0,294525,108670,16959,21060,8383,8709,918,1787
41,51,0,0,2051255,10282,12074,6801,13417,15127,9135,884
42,26,0,0,823558,10285,575,3422,11694,13840,7614,1526
43,26,0,0,917325,1816,426,463,18053,15930,3337,1189
44,26,0,0,586822,29820,116,3957,13843,8234,6895,719
45,26,0,0,985572,123616,16873,8326,16625,7160,3707,1759
46,26,0,0,1532244,55991,65991,20210,35232,40424,20802,9985
47,26,0,0,1793842,7809,6089,13321,116567,18892,17657,4180
48,26,0,0,1600643,9256,1285,4077,6735,7066,13959,1219
49,26,0,0,1382589,5255,544,932,13199,13507,1109,889
50,26,0,0,1168675,5229,204,1456,8830,14222,600,887
51,26,0,0,852326,8809,1724,3086,17932,2619,8701,1477
52,26,0,0,1934164,244615,11195,25663,80834,11886,25424,4525
53,26,0,0,1785967,4993,3366,7750,56640,59494,3722,4778
54,0,0,0,1450653,36968,13530,9250,56999,54862,8192,4926
55,0,0,0,956714,16152,5397,4437,7232,9913,6955,240
56,26,0,0,1674117,25267,14191,20144,28972,37274,11742,2103
57,0,0,0,64901,18389,3763,2353,2753,6920,4178,427
58,26,0,0,390390,51086,15588,18164,7946,6310,2984,1030
59,25,0,0,1350884,694868,9731,19807,64433,49907,57579,25686
60,51,0,0,892066,366731,257931,115562,99522,242151,77224,65610
61,51,0,0,847227,14944,9303,3287,11815,6422,5706,638
62,26,0,0,378083,12179,1184,4496,11521,5509,7585,552
63,26,0,0,1105379,10641,3659,3602,9961,8007,7307,590
64,26,0,0,2442240,28710,9206,2448,39828,44022,10673,3780
65,26,0,0,1316839,16650,2109,3858,7668,16058,1378,401
66,26,0,0,24123,1958,419,283,2581,9202,101,183
67,26,0,0,809071,13729,552,2852,10166,6513,2880,808
68,26,51,37,1761206,8221,1593,7838,37283,73063,2587,2089
69,0,44,48,1869291,14118,3849,8547,34996,77692,1891,1615
70,0,44,48,1032830,7274,1558,2232,9141,6769,2256,780
71,26,26,64,658746,8846,1038,842,11085,19502,738,609
72,0,1,74,2511069,35483,3253,4385,36337,74898,1124,2460
73,0,1,41,701520,10804,1699,438,5703,1415,10091,734
74,0,1,37,1222545,19886,1997,770,27199,30722,10384,2434
75,0,1,37,718925,3007,831,4088,6515,2343,7609,496
76,26,1,37,1906778,27050,12379,26920,21183,7277,20051,1828
77,26,21,21,1618967,37933,21264,16572,20038,23969,13622,2967
78,0,21,21,2369136,10998,3205,2850,32810,27891,23808,2874
79,26,51,4,1438231,36044,20856,12076,21240,15082,16126,2336
80,0,51,26,2275250,27235,1518,12179,61392,36925,12528,2270
81,0,70,20,1901413,42792,1722,14423,17274,46365,6696,1819
82,0,61,29,1605099,12787,12578,3445,45739,22545,19578,1741
83,0,44,35,1055968,39228,8947,2782,25935,18064,8309,3217
84,0,44,35,1231597,9846,4999,2991,3296,5267,1927,317
85,26,51,35,1985704,27122,8002,8544,29689,47475,18101,2046
86,0,51,35,717008,20323,4061,2141,10352,3528,9056,825
87,26,53,23,1124501,64736,10356,9273,16043,17781,21941,2103
88,0,67,14,2869980,18976,21410,12764,19796,17569,19105,3554
89,0,67,14,939754,19266,2665,9522,8148,1075,4431,597
90,26,54,16,1384689,49942,2098,4356,45024,24530,9305,1953
91,0,54,16,445304,4576,2481,1371,4774,3383,1264,627
92,26,57,1,1200362,35990,3604,11757,24767,8969,17458,2356
93,0,57,1,744078,21054,2247,4096,7950,2608,2794,894
94,26,57,1,552871,6135,1593,1306,2999,8308,3211,118
95,26,61,1,2125953,57273,15969,5941,21020,13300,14943,2400
96,0,53,1,1045618,58262,12728,14605,16671,6190,4730,2385
97,0,53,1,124042,8551,1260,9939,9238,1765,1168,1074
98,26,53,1,1587365,938129,101587,37950,51365,17903,7994,5157
99,26,53,1,587159,13107,2608,2445,10932,5212,1177,325
100,26,80,1,1087583,77547,16895,28652,36497,12129,9834,3398
101,0,80,1,258924,7894,3653,1776,1216,886,662,460
102,26,80,1,1272440,28468,7627,7346,3838,3049,2061,863
103,26,80,1,1707546,94480,3042,9969,13106,15323,15728,1654
104,26,80,1,569037,8140,1502,1800,13445,7167,3566,297
105,26,84,1,729560,42875,16881,8281,17619,12155,6280,1546
106,0,84,1,1323972,58401,4978,3341,12867,8230,1594,667
107,26,87,1,983512,92236,18685,15827,27808,9995,2959,2141
108,0,87,1,888633,7819,2490,3493,10387,5865,1410,330
109,26,70,1,2262388,31317,4573,3414,20765,15221,15734,1844
110,0,70,1,1179342,10742,1504,4314,6857,6029,6087,437
111,26,66,1,483051,21424,6655,7386,24276,8142,12442,1751
112,0,66,1,1362237,19696,1518,2209,3838,2831,2703,288
113,26,70,1,427438,30792,19107,19916,30936,6513,5510,1552
114,0,70,1,966580,46792,10927,54488,8635,19264,10496,6191
115,26,70,1,964439,115409,44865,91642,50101,41778,18606,13359
116,51,70,1,162117,163776,17366,11660,17622,7891,4530,1709
117,51,70,1,1271504,34896,11558,10008,14885,2044,633,446
118,26,70,1,714853,128946,3064,5556,44179,23485,3234,4728
119,51,60,1,1364935,96278,6300,10558,53290,7563,18140,2253
120,0,60,1,606487,15365,8706,2807,6658,2409,7829,608
121,26,60,1,1148781,8295,163,3201,14062,1907,5600,1207
122,26,60,1,54221,1235,277,218,680,5092,189,55
123,26,44,11,663140,3776,395,338,11922,16329,840,656
124,0,30,38,2093779,4615,4374,4471,48140,62389,3372,2174
125,0,24,56,2001272,27115,19727,2746,20960,33248,10163,724
126,0,24,56,846193,11234,2209,3169,8415,1783,4948,711
127,26,24,83,1674921,14126,1986,6308,47075,31619,20413,2826
128,0,57,57,1773541,52297,16490,20747,26382,17586,6990,1649
129,0,66,47,586570,26246,4696,10266,26460,49653,3376,1329
130,0,53,44,1424414,25728,1305,5077,25679,20131,28610,1911
131,0,61,34,2464208,33705,8686,10074,36415,22136,13401,2252
132,0,61,34,13914,1238,221,216,1556,6604,40,83
133,26,61,34,412175,20301,572,6863,6700,2178,2659,644
134,26,61,34,504179,5649,1858,1702,7256,6592,3042,621
135,26,61,34,1320250,10375,379,3539,11084,6808,3700,590
136,26,66,23,1322614,78554,18746,45916,25621,8517,12214,2350
137,0,66,23,1330859,1330,1385,4635,12655,2362,3007,461
138,26,66,23,996552,4180,1176,4058,5743,2352,4241,395
139,26,66,23,976413,11971,1939,2600,11338,1911,912,470
140,26,77,13,590221,56091,26908,10263,22864,27567,8838,1828
141,0,66,20,433423,3242,429,293,7506,6386,5025,581
142,0,60,21,1216171,29786,1774,6582,38871,18383,22756,1259
143,0,60,21,960103,12112,1905,3597,3924,2444,2763,389
144,26,60,21,72117,1313,1067,497,1505,3339,362,118
145,26,53,24,1163594,48569,18475,10860,29649,7562,24123,1951
146,0,53,24,1323371,18684,5887,5038,9610,10724,3016,280
147,26,56,21,973425,29601,16584,23601,37306,15674,16208,3084
148,0,56,21,660609,15356,1287,2069,7213,3190,9656,280
149,26,77,13,1623103,18770,9971,8916,45783,18559,12722,3198
150,0,77,13,1084616,1458,222,732,5394,9383,324,634
151,26,77,13,848915,7996,4092,1484,4025,5799,486,366
152,26,80,1,1247138,129269,8090,15058,31462,9331,22031,2030
153,0,80,1,1022450,7753,2865,3050,8369,20333,436,476
154,26,67,1,1238825,117733,12788,10212,28716,26363,14864,1559
155,0,67,1,1756998,10616,7369,4789,5926,4863,2555,307
156,26,63,11,1087282,23048,18588,5070,23666,33330,16108,1109
157,0,64,21,618807,8497,5317,7016,11365,30029,21313,2214
158,0,64,21,2726616,72700,20791,36227,19306,7341,1072,2161
159,25,64,21,1935194,89070,2685,26364,23788,29912,15462,3291
160,26,69,38,1524098,56009,21778,23067,77009,52198,9940,1887
161,0,69,38,1401227,25202,1956,3833,12566,4992,7874,1126
162,26,69,38,1729900,3410,1948,368,6359,12254,954,360
163,26,69,38,77989,4438,833,849,1293,2657,1092,102
164,26,69,38,1090906,3553,472,2509,3276,5935,2015,352
165,26,69,38,2458925,81963,10615,53544,29582,17045,13939,19292
166,51,69,38,788889,25262,9886,12823,12957,20914,4702,2845
167,51,69,38,503095,15859,4470,5575,23573,19062,504,658
168,26,69,38,941877,9145,1461,12519,11245,3569,867,343
169,26,69,38,186331,3360,1434,809,2389,2252,658,138
170,26,69,38,2057196,23290,19829,18987,54112,40475,8515,2133
171,26,69,38,637742,3594,5099,2139,12380,17314,561,748
172,26,69,38,1395254,59936,6555,29531,89773,55553,39165,21701
173,26,69,38,1449984,186738,2456,30037,29651,36791,10330,1874
174,51,69,38,1379617,41214,38933,25177,14027,8073,5679,4502
175,51,69,38,584346,35776,5291,11906,20652,5520,6349,686
176,26,69,38,1726803,47324,12213,30664,111454,63557,25381,10526
177,26,69,38,1402896,142889,33640,39691,56660,8909,12781,3305
178,51,69,38,981676,17534,642,1538,13764,1893,5823,1077
179,26,69,38,1189943,59475,23436,21520,67167,26924,21248,3268
180,26,69,38,2129257,122527,42120,46716,49945,31681,11894,7639
181,26,69,38,1544379,97398,34924,30978,30121,32879,80537,20755
182,26,69,38,636362,20183,8151,5345,4642,1732,2580,1230
183,51,69,38,1231421,3866,2199,1023,3896,6573,4580,635
184,26,74,51,2187894,7061,7364,6364,55718,17664,30496,3109
185,0,74,51,1024384,2195,2511,3117,6928,2398,2635,325
186,26,60,30,486316,27726,1968,1951,16251,2734,7950,990
187,0,60,30,1106892,67224,31233,29187,17995,21421,33044,1611
188,26,60,30,762338,50027,35801,55151,36873,35313,14860,3655
189,26,60,30,1655385,12284,12155,2320,2668,4313,3979,385
190,51,43,30,2101843,35396,3714,5893,86141,54377,21896,4362
191,0,43,30,553129,47877,33879,6811,10473,9051,1471,2610
192,51,43,30,587841,97360,63299,43853,17721,5320,3926,1849
193,51,43,30,293836,47629,13515,25199,8758,10465,2127,374
194,26,43,30,652971,54413,21727,7589,21549,2748,2168,915
195,26,48,27,1181213,19640,5814,19925,33095,16124,20272,4332
196,0,48,27,1228409,36706,483,18436,38090,11802,24359,1030
197,26,48,27,931057,190965,855,32906,66483,53942,7480,1628
198,26,48,27,1429494,43437,27353,24688,78105,6349,6600,1762
199,26,48,27,320587,13690,6270,3906,8490,10413,3142,347
200,26,48,27,670138,95642,14396,18794,61086,19449,5392,1799
201,26,60,13,1025481,29417,8784,13665,6888,6728,5129,1763
202,0,64,11,840476,132305,9954,11274,5493,3213,7647,1483
203,0,90,1,1307367,26280,13560,7251,11403,9181,2987,1033
204,0,90,1,882531,53633,10870,10411,13479,4114,2795,488
205,26,90,1,373633,7571,1885,4170,4653,8701,2959,166
206,26,90,1,877176,3665,1588,1931,6639,5183,1825,639
207,26,78,7,1043205,54060,8710,5839,33911,22488,10993,1578
208,0,78,7,1122512,15808,2755,3532,13286,2208,2396,447
209,26,66,10,1401444,75289,15577,5402,38363,7852,6693,2578
210,0,66,10,1146289,21929,6775,4588,2994,3035,3212,325
211,26,66,10,14195,725,48,184,748,6841,71,90
212,26,66,38,526942,3152,1327,1479,5756,8073,2806,371
213,0,63,37,285883,7892,2044,2732,4285,1703,8489,238
214,0,63,37,322821,8732,1498,6637,7789,4788,2725,641
215,26,63,29,1964659,68885,7246,6420,21815,8432,18282,1423
216,0,63,29,625976,37844,8362,17685,25610,9362,1702,630
217,26,63,29,1376854,30467,11584,16693,18652,7353,6051,2211
