2019-11-16 05:11:37.957385
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
99,0,69,43,1278559,28648,21971,28662,88119,39042,46338,3819
100,0,69,43,2409977,126522,20707,38751,27559,41863,32182,4183
101,26,69,43,522568,23676,14040,11608,8001,5265,1258,1175
102,26,74,50,1790283,95522,35380,33799,49525,29855,16904,2488
103,0,80,44,769425,63564,6054,21264,29644,11568,3323,6548
104,0,57,38,703042,29393,13545,7624,42433,5852,19280,1508
105,0,54,20,2306774,200814,33567,43734,94302,17760,11109,5100
106,0,51,13,1090584,83326,14635,22720,18434,9639,7792,1057
107,0,69,23,478847,14095,14950,29524,13861,23753,9280,2113
108,0,70,24,108111,6850,3168,2872,9463,1909,1370,676
109,0,77,30,64539,11466,2026,4265,5107,2283,1437,678
110,0,90,35,856997,21586,18380,15549,15920,6805,6367,1541
111,0,75,29,484739,20719,9742,4839,17417,6961,6417,1922
112,0,87,27,329261,42782,46802,13301,36987,12603,4695,2001
113,0,93,26,1493297,112259,86479,14010,71249,21143,5296,7085
114,0,84,24,2062992,26378,14190,12379,20036,6071,5380,790
115,0,88,26,663856,37369,22142,15665,44534,15562,10384,2480
116,0,70,38,1814814,15188,1778,9559,29008,12234,17871,2533
117,0,54,41,542723,27861,2667,4558,4141,6481,3312,835
118,0,54,47,871763,29770,10374,14891,16027,9530,11231,1636
119,0,43,38,643993,14277,1971,2059,3877,1586,4232,360
120,0,38,11,1549167,272939,29005,14987,7099,5587,8932,1204
121,0,37,16,391220,6975,1438,1865,7337,2607,617,236
122,0,11,3,322928,74792,6607,1650,17176,2483,10949,661
123,0,29,8,1102139,30075,25731,14747,20749,8002,2557,2635
124,0,47,14,97986,15892,5238,2493,3531,985,1332,211
125,0,38,4,325004,79727,3572,7524,7016,6454,4335,2791
126,0,35,1,1164771,135588,4428,7179,15424,3010,11550,936
127,0,17,1,203481,31290,4813,3703,6639,2663,3233,309
128,0,21,7,1444456,51817,14072,19526,6955,10790,5275,1222
129,0,29,4,781579,120088,11836,15301,18990,7853,9498,4093
130,0,70,14,1065695,24544,12924,27032,6342,5062,21892,1173
131,0,66,11,342754,130446,20962,8096,27866,6424,7137,765
132,0,50,7,734792,99832,9780,12642,13493,8779,5511,1014
133,0,66,1,989534,72046,32188,13117,13540,3312,9997,930
134,0,47,1,1503303,52661,14065,12105,33099,5825,7807,1757
135,0,35,4,1313120,85603,5841,2804,10950,6556,20528,443
136,0,40,8,258130,17242,1341,5823,7231,2580,1378,408
137,0,38,23,677496,23135,11111,12791,17119,7364,4237,4407
138,0,53,26,527375,53240,37482,12894,11292,11501,10386,2051
139,0,53,26,895015,17895,4871,4736,6146,2145,2389,295
140,26,83,41,1531289,17257,17899,11753,18554,16551,11483,1324
141,0,91,43,1401043,39896,19201,14334,34030,10057,3060,2201
142,0,84,41,799474,48457,17978,4782,10592,9740,11845,1405
143,0,54,41,73657,21556,276,2391,2975,2366,434,129
144,0,44,29,1546266,78331,8236,21428,9239,10681,8698,1188
145,0,35,26,1072754,82044,8565,17250,13387,11548,3282,1531
146,0,16,20,51571,103255,4072,7673,2475,6386,1843,382
147,0,27,11,1621872,271653,28578,31394,29549,14838,16070,2759
148,0,21,14,2103613,202533,31815,28452,50433,39890,6934,3417
149,0,20,11,182719,138723,1465,32375,20774,12214,4399,865
150,0,20,11,1038161,38799,3162,1908,6159,7483,1360,403
151,25,20,11,117460,65303,4565,6519,9391,7674,2316,1526
152,25,20,11,787069,15008,2648,3368,4603,5612,2207,1075
153,51,44,21,1301667,429270,240344,148469,200051,155960,59816,8017
154,0,66,26,1220115,63067,39146,21317,5134,9877,4154,1239
155,0,63,13,84663,63274,2711,8775,2349,2219,900,499
156,0,57,17,498873,369774,39645,33541,26927,51145,12883,2392
157,0,50,20,932329,144033,36402,48728,78687,57219,18678,4424
158,0,27,14,2745315,1088574,169718,68617,122962,57127,28882,11211
159,0,14,21,941014,173321,1768,4972,22382,10830,8688,1541
160,0,30,17,1485812,71423,10175,21546,16390,8943,6498,1417
161,0,40,16,131144,3793,2302,1531,2899,1462,1080,535
162,0,48,30,346264,50707,8042,11771,18189,16183,8648,1174
163,0,66,34,263969,12737,1464,2498,10930,1544,978,202
164,0,67,23,1728521,52319,10904,18824,18451,1942,3823,1356
165,0,74,17,741128,21664,21127,13149,26979,6222,1534,1292
166,0,77,10,295913,45500,10570,11851,18740,5161,9015,602
167,0,81,4,177074,91938,18462,11611,9991,6330,1715,450
168,0,90,17,1990690,26510,21360,14800,8810,7279,4540,530
169,0,80,21,123172,14178,3021,2990,4833,3086,1304,439
170,0,75,21,597788,171293,38972,12181,63961,16458,7773,4713
171,0,74,34,1252411,42804,2379,16764,25612,14059,4803,1261
172,0,70,29,493266,31197,20706,11568,10410,4243,3626,463
173,0,81,30,1540333,12146,5753,12128,8183,6175,4460,1140
174,0,97,38,124464,2555,2830,3776,3775,1649,1204,214
175,0,100,38,748846,31074,19491,4997,13570,10846,2091,1375
176,0,94,48,40802,8961,2803,2201,3437,3091,1611,690
177,0,84,41,1003227,50385,6705,15325,17071,6179,4744,782
178,0,81,35,1852111,53809,16129,21347,11524,6783,2904,1217
179,0,75,30,72438,13607,248,3954,1403,2301,1274,624
180,0,64,23,1692247,424297,14053,61538,82210,44547,18694,8086
181,0,74,24,70728,5877,6724,2115,7226,1642,790,419
182,0,67,24,200752,15077,5343,2565,7466,1796,1432,392
183,0,77,17,217202,43283,7380,20969,9824,3868,2834,658
184,0,70,11,28189,25490,1929,947,4140,1102,2419,331
185,0,66,17,485121,32538,14666,8301,17525,10261,3974,575
186,0,57,14,1066654,162575,11999,20254,17282,11489,4780,1074
187,0,41,14,624129,123074,4434,12990,7753,7976,6567,2174
188,0,50,23,49479,21724,2142,3567,7644,2799,752,501
189,0,56,13,899141,22611,17334,11079,16776,3459,4894,704
