2019-11-16 05:23:36.067888
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2,25,0,0,315650,21423,12238,1264,946,748,1017,329
3,25,0,0,241612,22290,5359,10424,4927,1482,1200,470
4,26,0,0,593644,67050,14064,8313,2848,6026,2576,1045
5,51,0,0,56216,104223,92525,22069,17919,39302,10755,13563
6,25,0,0,2223333,65706,18041,27193,16469,19523,13302,4570
7,51,0,0,1966485,125146,79775,5727,46020,13649,9361,3930
8,25,0,0,495656,40262,10806,8862,8019,2162,2156,300
9,0,0,0,443377,13284,1541,4145,4832,2581,2441,409
10,26,0,0,1115745,56319,722,7919,38126,8668,12373,2479
11,0,0,0,1146212,52252,9236,13786,54421,7260,4956,1882
12,25,0,0,284976,3555,499,823,501,390,130,161
13,25,0,0,806407,60577,10389,19192,101822,23405,7460,6047
14,0,43,37,808730,94851,7662,10983,3294,6635,6551,2949
15,0,63,38,1567161,59000,23729,23633,12345,9344,9448,2199
16,0,63,38,1967536,155314,30867,32513,75432,35173,2576,2695
17,51,67,23,1012454,802339,177511,17190,44642,21525,10085,10119
18,0,67,23,672287,8158,9232,2026,4428,2155,1310,282
19,26,67,23,573380,55068,4864,2479,16897,9277,661,327
20,51,67,23,2256254,381615,263658,202173,80807,143527,19564,16476
21,51,67,23,773572,45681,7155,8403,8071,8190,1073,553
22,25,67,23,2475631,146645,106217,103282,70642,28863,16035,14152
23,51,88,30,1064324,74242,48930,22343,21088,23103,20375,5347
24,0,100,38,51471,22231,7295,9260,9037,3603,1568,700
25,0,93,40,371536,11273,4079,2818,7621,2208,2125,227
26,0,87,54,33032,32999,2807,3274,10680,2828,3017,747
27,0,83,57,129526,8755,7688,1556,5742,4086,1095,223
28,0,77,60,71319,9328,3740,1583,5059,1817,933,422
29,0,81,54,1831201,56812,32515,9787,39873,7219,4066,1088
30,0,100,53,5055,2170,161,2341,2676,331,193,216
