2019-11-16 23:25:09.582455
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2,25,0,0,391704,31352,4982,9570,13997,2268,1719,2058
3,25,0,0,874767,180153,24255,48639,110695,22483,9193,14280
4,0,0,0,196882,104761,8923,11226,12978,2297,1151,857
5,0,0,0,384945,31146,5524,2971,2787,1880,542,952
6,0,54,48,422329,220561,45982,28024,22734,17009,2223,2375
7,0,75,54,414783,29201,7299,5838,5751,1965,451,798
8,0,84,78,8087,1115,759,914,4472,1576,188,500
9,0,100,78,1886858,140997,15965,44473,23657,11518,9932,1482
10,0,100,70,109017,4595,1050,1037,2294,428,145,314
11,0,100,70,130827,7959,809,2476,2932,1124,495,268
12,0,100,44,2222677,148130,67823,34028,28309,9702,3920,3028
13,0,100,48,38520,3706,1883,3391,1491,741,92,162
14,0,100,50,752247,11660,6342,8099,1846,1763,1548,570
15,0,100,43,26190,8781,1735,2336,1781,662,200,234
16,0,78,54,97785,26218,3560,2932,5192,3953,1067,594
17,0,50,48,164359,22572,4222,2119,1521,1197,610,539
18,0,26,44,7469,87415,2958,27196,6091,6592,4474,954
19,0,20,50,73640,16820,4841,1583,1978,1920,734,274
20,0,53,50,4161,19040,24410,4477,7716,5628,2941,2016
21,0,56,64,477638,76472,12206,30995,34288,23104,8581,7916
22,0,66,56,461348,43042,5276,20975,5541,1698,927,492
23,0,60,34,297672,316424,46610,16739,4239,2096,1768,1598
24,0,35,23,97532,46742,9828,2795,1891,1802,517,192
25,0,21,8,1242276,286873,24429,24158,21966,12156,5203,3003
26,0,8,7,712014,215635,52603,6917,8337,5168,2449,2293
27,0,34,24,215442,92800,31905,44857,9665,7042,2256,1111
28,0,40,16,141765,140646,44006,7852,2173,2127,1351,676
29,0,37,21,114957,28245,1109,2804,1488,1914,162,115
30,0,21,13,803431,533334,13540,18058,5915,4469,5121,1690
31,0,13,14,145556,37683,5314,9268,5616,2497,763,1007
32,0,13,35,633560,10072,2370,1630,4197,1451,2083,825
33,0,37,37,2118196,48693,6272,15632,21520,5556,3933,3776
34,0,64,48,139262,48772,5834,11415,2085,1896,756,605
35,0,80,57,223609,15564,14415,18268,8089,7283,5381,1687
36,0,83,63,20698,23391,6053,4411,5136,5746,1233,1696
37,0,83,51,622376,253840,49094,31959,19318,7633,5161,5290
38,0,78,60,599230,17506,2416,3256,3221,1367,838,373
39,0,78,47,1773145,33856,69193,6230,9257,4617,3521,2183
40,0,80,41,354728,10532,4832,1952,3403,1562,736,236
41,0,88,53,24015,21100,7953,11726,2773,3222,2412,2613
42,0,87,67,22908,16508,4315,3565,2426,6387,3486,1181
43,0,70,84,20196,18730,4624,12219,6456,10770,3059,1817
44,0,47,74,106369,333270,2011,9627,40046,9114,5671,1857
45,0,43,70,164979,26164,9128,7446,5658,2593,995,342
46,0,53,57,1169757,93483,67897,6346,15480,12052,3686,3864
47,0,64,43,81654,13216,28609,4630,13670,2510,3609,1967
48,0,90,63,8694,6575,1587,2438,2965,2403,921,802
49,0,90,81,20503,1177,1414,1941,3530,2246,860,774
50,0,75,91,120014,11597,826,2016,3577,2661,2076,1143
51,0,63,87,339008,44451,14405,7565,5606,2102,970,256
52,0,50,80,28736,51565,4066,2415,7015,7107,2803,1675
53,0,44,63,183522,33801,6747,5648,4226,3853,749,397
54,0,60,54,136693,16375,2205,12400,3645,2344,1072,564
55,0,61,64,83071,51284,24842,6278,1914,7344,400,929
56,0,77,61,6602,12330,2645,2496,1230,1522,513,524
57,0,87,61,682347,47686,29105,25401,8138,9066,3225,3177
58,0,81,63,31685,30724,16406,5871,16002,3963,3219,2193
59,0,77,60,20376,47718,19548,6736,13256,5102,4737,734
60,0,77,63,17811,41416,6457,11828,2800,7393,1838,2457
61,0,66,61,133161,47685,15919,2756,5828,4649,2771,1796
62,0,54,78,110359,14169,3988,1446,13245,10555,496,297
63,0,63,87,110539,28834,18907,20424,13887,9469,4464,2741
64,0,67,83,14850,32721,18942,6752,6540,5464,1431,934
65,0,78,90,127349,8027,10634,5412,8637,3583,729,330
66,0,93,75,11278,45584,29041,11844,22107,9166,8799,4236
67,0,94,66,25507,25810,24964,14264,12901,3334,4753,3264
68,0,81,61,166746,80286,3755,11071,6169,4363,992,579
69,0,80,61,26162,14166,2859,14368,4809,5083,2835,1219
70,0,74,61,95512,10028,821,2497,531,1528,121,85
71,0,51,56,74346,73503,4500,3301,2724,2409,919,429
72,0,60,57,130423,42248,10962,9723,14040,3832,2270,2028
73,0,37,47,155181,28950,962,2353,3013,1500,1473,727
74,0,38,34,185023,126230,43163,4668,8370,4312,2129,2208
75,0,47,35,418288,92848,10913,11982,2346,4108,2871,1676
76,0,30,16,981170,319189,26208,2050,10686,2847,1929,1205
77,0,43,8,2054530,114473,19574,15848,3943,2458,614,1433
78,0,44,21,1341950,210006,80006,33356,67014,39392,10704,6615
79,0,41,20,1477914,89699,14360,3936,8057,3501,1251,1151
80,0,48,23,698657,289202,25239,21115,2588,3973,4316,1625
81,0,51,37,1679130,74376,14723,19482,8493,6463,8192,1707
82,0,61,24,729076,65719,30034,32937,8307,5067,2171,1851
83,0,60,20,863666,288783,41208,10323,11308,6006,1011,1384
84,0,69,24,469881,34808,11164,4161,1618,1155,450,567
85,0,53,14,93023,542639,36070,10672,6932,10858,3635,2332
86,0,48,3,532840,122486,46245,17091,6198,1920,1246,903
87,0,38,3,497904,515260,15761,22956,21338,9117,4640,1122
88,0,44,13,955497,72959,20720,43207,10754,9333,4248,2707
89,0,70,27,551871,70782,47331,46011,8933,15734,8667,2677
90,0,61,41,708200,217287,19990,35299,27897,14853,5970,2939
91,0,63,38,64545,51040,3534,1029,3371,570,540,322
92,0,54,24,589228,179914,48335,8877,8425,3754,2293,2534
93,0,23,7,285878,243822,7715,5169,1578,3489,1733,1021
94,0,24,1,947984,287868,68273,10931,2368,3688,1834,1247
95,0,38,7,331346,133590,17321,23391,7784,9207,2614,1236
96,0,35,13,235385,131012,22070,9098,2593,5104,3288,805
97,0,56,24,995501,75975,28512,7593,8900,5551,1198,632
98,0,67,37,285277,12614,3818,6623,561,887,337,397
99,0,74,37,309056,140708,49498,14806,7189,9617,2844,993
100,0,70,34,116060,87842,15788,2679,2380,2476,805,809
101,0,66,24,268554,126808,27234,3689,4666,2996,2654,1050
102,0,34,16,6797,51612,795,253,658,715,579,127
103,0,41,13,1113681,77474,64745,10506,9596,5397,4790,1057
104,0,57,11,296611,21614,12552,8353,1863,945,736,1069
105,0,51,7,171364,704570,36689,37862,22577,7916,4786,3083
106,0,80,16,236376,28486,8248,5609,1818,1897,897,848
107,0,74,10,209774,14162,4408,1468,280,273,292,463
108,0,60,10,617923,55859,882,14330,5356,1584,1514,1329
109,0,66,7,574743,737153,157434,18626,42961,7572,14451,1380
110,0,77,10,359425,14294,17074,8139,1908,2411,711,138
111,0,78,20,1112495,157143,27457,45519,4847,9491,2444,2130
112,0,88,27,341076,15492,10264,3358,4429,1878,521,220
113,0,84,41,739681,213365,26139,5668,4615,7269,5373,2988
114,0,60,30,148730,78412,4586,4064,3403,1646,729,366
115,0,57,26,231803,98216,19291,14107,5519,3155,1011,977
116,0,51,24,1404780,73420,22657,6431,5572,5075,2804,1181
117,0,63,34,40820,17375,7816,2972,2623,1849,2559,714
118,0,70,63,967586,123433,38004,26572,78744,81374,14862,3324
119,0,70,67,1044559,87739,25844,5558,3556,4955,4531,806
120,0,80,61,47380,9230,7084,1733,1275,410,593,103
121,0,60,64,21580,108775,2494,5305,13566,12905,2812,1431
122,0,61,54,11977,22078,4159,6426,6259,4886,5937,1666
123,0,63,51,85654,23788,5247,3981,1696,911,552,358
124,0,53,54,321342,79852,13560,16307,7368,3550,4645,769
125,0,70,47,246158,55119,17797,6405,1756,3482,3115,1352
126,0,77,26,1429676,266906,110408,28443,13387,7704,2307,681
127,0,80,47,659414,5102,1846,2100,1007,1730,465,491
128,0,78,53,1201579,58959,11514,9196,3371,4942,4666,2478
129,0,75,64,28035,22725,2406,6004,3851,5405,4668,910
130,0,69,94,7396,22015,4990,7007,3698,15528,1518,3281
131,0,50,91,51040,14061,943,374,2583,1944,735,308
132,0,47,100,6351,21457,3522,2305,1797,6611,8062,1468
133,0,50,100,7771,5999,4202,1835,5499,2448,5992,1255
134,0,60,84,64801,23346,9067,10496,588,1970,853,1641
135,0,77,93,52869,19100,9889,2092,3861,9429,1909,1802
136,0,80,75,86381,22072,6320,2375,5688,1148,936,517
137,0,70,81,23950,18172,2229,3853,7683,10675,5583,1583
138,0,64,93,21506,18086,4571,7636,6117,4971,2346,1622
139,0,69,83,42992,15244,10075,2617,2851,2754,3450,610
140,0,80,93,608464,28572,22153,26115,14941,7609,2456,2515
141,0,88,78,101653,34692,12468,4050,9973,5103,2051,1503
142,0,90,64,382617,141503,56482,18904,10998,8391,2407,2313
143,0,88,64,875070,58045,16050,21935,14045,8348,891,966
144,0,69,48,311036,36992,1216,4265,2660,788,1302,519
145,0,61,34,323180,128691,16735,3868,2387,3200,2008,356
146,0,61,23,118211,238567,122282,2265,2256,5216,2279,1520
147,0,67,14,1165268,59640,56517,24325,8701,6106,9353,2089
148,0,74,38,61019,47246,8945,6466,6975,12430,12843,3035
149,0,80,67,24562,11922,6275,2221,5142,14455,2264,1633
150,0,75,100,54417,11338,2197,6740,5902,12750,4481,1524
151,0,66,100,13527,17934,7742,4858,5377,3815,7197,1504
152,0,57,80,52536,24393,1810,562,1719,382,593,375
153,0,54,60,111726,59055,827,13190,7857,4733,1500,848
154,0,54,53,115929,14310,4078,2399,2092,6202,670,446
155,0,51,57,40016,12398,3931,7534,18255,5152,2798,3567
156,0,56,75,132808,78244,7999,9627,11478,9589,2829,2465
157,0,69,70,537102,167017,143479,2491,9599,13815,1600,1987
158,0,67,57,45301,32898,5190,2845,2282,2510,1578,570
159,0,67,41,288535,119808,45150,5477,7722,5691,2938,3023
160,0,63,27,57864,162714,10946,4935,2397,3360,1104,1296
161,0,56,27,666137,30246,10166,4869,3425,2019,2482,1497
162,0,53,16,239236,133471,15404,4365,3302,2358,2481,1047
163,0,54,10,1455898,278683,31065,102052,29676,6547,5031,2245
