2019-11-16 07:04:55.305602
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2,25,0,0,794787,52394,3694,4166,2846,1158,973,435
3,25,0,0,515265,30130,7789,4765,4575,3062,1911,1733
4,0,0,0,378902,362866,21718,30899,28203,12734,3747,3461
5,0,0,0,2297041,231005,214860,28855,44655,46680,10688,4461
6,0,51,41,724006,57396,35807,23122,5296,6216,2039,1203
7,0,61,27,1100380,97284,47881,14623,11062,3643,2112,870
8,0,50,10,1053692,274157,7711,19892,8665,4239,5320,2306
9,0,47,1,1657136,142201,29089,1676,17516,4150,6262,2352
10,0,23,1,1191219,181316,4890,16947,13695,5598,4436,2907
11,0,13,1,454085,293707,25746,39020,15052,9358,6045,3819
12,0,24,4,798127,194005,35517,22931,9633,5699,3907,2460
13,0,29,1,1082612,137100,11545,33602,10652,2762,7790,2887
14,0,40,1,27478,40894,5331,7965,2021,853,339,414
15,0,44,1,959181,242202,68555,13856,16543,15208,2208,1290
16,0,24,1,71839,78037,1139,2905,5766,2363,624,454
17,0,24,1,2932608,424533,45729,76537,53099,26448,9271,2477
18,26,21,1,578067,300530,48688,17845,9643,2793,2651,1812
19,0,1,1,696452,414845,1070,9042,12552,3716,1472,1513
20,0,4,1,202290,267888,61976,4201,7533,4648,691,1105
21,0,16,1,199388,566338,14436,38090,4409,4569,2488,1946
22,0,17,1,218669,63736,8445,2866,1351,1193,947,268
23,0,37,1,1434894,241458,23900,17180,7836,1755,2683,656
24,0,37,1,1210972,48810,17596,16408,33176,28599,9513,3786
25,51,43,1,329359,97250,42689,3700,6384,2569,742,394
26,0,53,30,186244,14652,5342,899,5122,3309,815,180
27,0,56,50,2105478,1433910,223773,196656,235351,118265,19852,7833
28,0,67,84,824538,132824,73293,17831,14256,22130,11089,6495
29,0,63,94,203774,104156,27283,7533,13570,5845,5092,299
30,0,74,75,809514,71658,39724,45689,15631,4640,1871,4539
31,0,70,57,116495,44840,4807,2518,2141,867,1176,675
32,0,64,43,204734,48368,13614,1605,6470,1888,757,605
33,0,64,47,1499881,105769,12528,24886,22623,7235,3322,2509
34,0,57,37,208463,59000,34203,1228,6319,1379,970,691
35,0,64,43,38874,66953,18976,3715,9503,2537,3276,485
36,0,69,63,219410,12740,1894,8578,5899,3140,1105,436
37,0,64,60,1749367,486978,58329,31745,19109,23002,3426,3480
38,0,64,60,948668,35700,10715,38078,38259,8582,4107,2340
39,26,64,60,603117,227082,44503,58970,75510,21970,4647,3318
40,51,64,60,1374796,399201,160816,92101,96196,92849,31147,17081
41,51,56,70,2451648,349498,25733,41485,7790,15493,4413,3228
42,0,50,70,918795,105975,9291,8497,8152,3378,1780,948
43,0,47,57,2255043,179753,58602,27564,28884,14587,5913,1833
44,0,63,74,414109,52534,36636,27568,6492,14826,2408,1067
45,0,77,81,328669,32169,26019,7201,4561,4739,977,559
46,0,90,94,1310099,26002,7862,16388,4290,3953,2421,779
47,0,88,83,519678,226292,36772,30784,6547,5783,2071,1184
48,0,75,81,1784765,151798,35370,7013,19921,20297,5276,1590
49,0,69,64,371581,142650,43270,23376,14552,4047,1820,826
50,0,67,60,779796,193776,73117,56203,25118,17811,9819,6767
51,0,77,70,1293995,71075,22888,46592,17702,6739,4800,1857
52,0,70,64,303076,292750,7433,33966,29573,22271,4274,3301
53,0,74,74,357367,46750,15211,18721,15668,3170,1759,895
54,0,74,74,734795,234713,29241,19758,15934,10645,2016,1478
55,26,74,74,322896,15731,3771,2168,1419,999,138,104
56,26,64,63,1249478,589509,54546,90651,34921,16982,13113,1951
57,0,60,77,760554,141005,32756,54515,6926,30101,6614,1223
58,0,66,67,990799,177496,49416,4176,33580,7965,3593,4440
59,0,63,75,385581,19563,8469,817,7276,1932,685,777
60,0,74,78,614504,45003,37374,2805,7824,2586,1834,357
61,0,78,78,1923010,83561,26666,95587,27980,26657,5660,1734
62,0,75,88,56600,10926,1113,1305,866,1087,483,141
63,0,66,81,359784,610935,71784,14819,27707,27338,6439,984
64,0,77,91,146613,2740,5483,8362,3732,1094,1268,837
65,0,64,78,770419,14498,3148,2045,6102,954,1117,1284
66,0,64,80,905984,73369,12699,6308,17413,7848,2233,1554
67,0,75,77,198048,50805,7578,16243,7028,2789,2203,688
68,0,54,64,1232356,503493,47401,70255,8134,14497,10736,1987
69,0,50,60,206692,107377,8948,6425,2532,3730,1134,518
70,0,44,35,344128,43656,3159,1505,3708,605,358,288
71,0,47,43,664506,17484,1685,9059,5359,1680,883,626
72,0,44,64,1887534,110067,17601,13042,40555,20069,5501,2611
73,0,44,64,1883514,116367,41051,78676,29708,49759,10379,2391
74,26,54,87,1564399,190195,38733,90620,48927,51929,8945,6100
75,0,70,100,111416,26184,20729,1475,2502,3240,1800,931
76,0,69,100,1048700,63153,17172,18866,25475,6562,4879,3143
77,0,77,93,196555,36483,3089,9403,2249,1981,2880,316
78,0,70,70,434443,23709,3210,6340,6149,1029,935,724
79,0,70,70,1479909,69450,9839,10100,17228,8627,2301,2730
80,26,63,83,206292,44020,11283,9485,23723,16374,3142,2216
81,0,63,83,363936,104353,8840,64139,92758,35545,4235,5739
82,26,74,75,2415344,170332,16376,237566,17788,15102,14476,7709
83,0,57,60,2253096,1202843,31375,34892,52208,18782,13340,2231
