2019-11-16 10:12:02.603313
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2,25,0,0,271871,6483,676,1898,2160,1077,398,224
3,0,0,0,2103273,125311,5136,9734,38582,46912,10212,4075
4,0,0,0,1014921,86639,5919,49427,66863,36584,5762,1443
5,26,0,0,405397,6476,925,1756,1827,2124,155,277
6,0,0,0,725878,57902,11751,15371,8049,6473,2789,518
7,26,0,0,212291,3760,4723,5238,11020,4103,6143,3351
8,51,0,0,885784,83196,1341,3497,2544,2095,497,374
9,51,0,0,491181,1073724,827735,443758,468012,39126,31019,9609
10,25,0,0,642464,95441,14813,18340,6545,14674,3278,1048
11,51,0,0,1017720,31317,19592,16860,10682,9853,3810,3413
12,51,0,0,1096386,351254,83815,121817,77187,28845,13298,8990
13,51,0,0,401153,44245,10608,3631,12574,2974,808,616
14,51,0,0,1080677,176526,34573,52916,62281,79968,17401,13186
15,51,0,0,603958,136410,20630,69073,98974,117690,76473,79924
16,25,0,0,1478912,754398,385770,43958,81924,78725,25914,23419
17,51,0,0,209930,8773,2530,3736,8245,6731,1269,622
18,51,53,30,1564215,147294,101909,26314,25594,30991,14765,3833
19,0,53,20,662669,87895,14423,8022,16470,10764,7376,2574
20,0,57,8,672025,50996,10385,10097,31911,6867,4365,1196
21,0,67,1,168128,2794,5132,3650,13831,971,441,493
22,0,60,1,1805403,238942,17265,86644,140450,12124,12263,3251
23,0,67,7,2023276,102229,65403,13527,60894,44802,9317,2160
24,0,75,23,163054,23131,15881,5855,13155,7067,2302,1176
25,0,70,17,691395,162548,51122,19862,31271,8550,3298,1368
26,0,75,35,36153,4033,1204,1277,1770,604,537,114
27,0,75,7,366161,57514,22361,4587,4280,1163,742,829
28,0,64,1,1288491,148383,16218,10689,11632,3515,4347,3134
29,0,69,1,1418347,100039,68300,2157,17914,3583,2511,1465
30,0,51,1,842111,232793,9922,6401,6655,7113,6152,1818
31,0,48,1,2260994,262525,35895,56251,34441,23445,15014,3336
32,0,63,14,1506893,23397,11737,24528,23039,5780,1557,2587
33,0,57,34,2012652,54301,22204,15587,28268,8941,5515,2088
34,0,74,41,82953,9258,2257,778,2281,685,159,282
35,0,70,24,860288,71033,9177,11643,4411,1486,2766,1528
36,0,66,14,279903,250316,86494,28388,21716,16202,4557,2768
37,0,63,17,830116,32744,7279,5861,6796,5973,1168,860
38,0,63,13,498645,51064,11624,6755,10953,2547,1625,905
39,0,60,13,2535767,190721,36010,884,19614,1820,14125,7528
40,0,53,29,396005,10215,3939,1077,9292,2454,482,1967
41,0,54,16,825490,32447,9608,2638,6522,1203,1188,578
