2019-11-16 23:16:50.398483
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2,25,0,0,54,16,3,0,0,2,3,3
3,25,0,0,1563652,68275,22212,30263,10913,13739,5491,3852
4,25,0,0,38285,5063,9004,1134,2370,967,1249,347
5,0,0,0,40847,5003,414,1419,5926,4128,1395,754
6,0,0,0,403467,82876,27701,22693,18852,10374,8903,1273
7,0,30,30,79032,80168,9666,2723,31431,6898,3351,1346
8,0,37,30,375704,39131,7378,20382,13770,12152,4219,1560
9,0,35,13,1129967,209417,8287,41792,11712,4574,4713,6170
10,0,43,1,1182276,152920,62578,44114,21706,5876,2087,1872
11,0,63,1,364725,19114,10434,11213,2254,1089,1596,436
12,0,57,1,713894,147849,12610,23034,10509,7185,1961,1107
13,0,64,1,1853526,70993,13782,35120,10261,3586,2493,1121
14,0,60,1,801190,50368,2411,20234,9942,4835,2104,2675
15,0,44,1,785668,225256,28306,13797,3045,4530,1704,3162
16,0,50,1,92852,41502,15534,2733,1416,972,737,830
17,0,47,1,543405,30050,9013,5289,3214,2286,406,223
18,0,53,1,441186,27861,21801,4806,5450,4646,1395,375
19,0,64,1,782924,47555,27772,5442,6653,4084,1527,1085
20,0,74,11,168057,25721,34388,2017,3715,3792,626,563
21,0,67,1,155094,18659,3082,1266,802,371,556,222
22,0,63,1,1141042,76193,15298,21508,13919,7669,8142,1727
23,0,51,1,642131,294016,27525,26189,15926,9181,8550,4057
24,0,37,1,1065932,166169,31575,2196,10780,4122,2420,982
25,0,37,1,629621,33294,4663,3824,3975,1303,552,1390
26,0,29,1,538938,321831,54972,2574,17547,5064,2947,1753
27,0,26,1,448828,295025,31784,8492,3425,10940,1367,1521
28,0,29,1,1187207,421279,92191,36804,20710,16003,5087,1196
29,0,34,1,452703,483363,147371,34661,25731,27308,2611,3742
30,0,27,7,367640,265422,25317,10384,49859,33343,6579,3450
31,0,40,4,650947,16024,6419,1967,4471,672,544,546
32,0,41,4,3389364,149479,58589,8655,43683,5579,2898,1597
33,0,40,14,965815,137358,36821,33496,90843,29560,8795,2866
34,0,43,4,949190,225776,3329,37715,18974,8390,4369,3387
35,0,35,10,97515,66870,11281,2329,5102,4579,1506,485
36,0,35,10,2129888,593953,21947,127383,107511,118657,10989,11505
37,51,35,10,2444524,109826,16147,27612,18899,14568,3360,2208
38,26,35,20,583051,177067,17703,53244,19727,23759,5114,2493
39,0,41,11,1550273,58708,9589,31482,17326,5021,13787,3533
40,0,53,10,518696,109850,47486,36876,19440,4928,3173,2854
41,0,60,10,1632233,132156,32906,29104,33945,12028,2825,1932
42,0,48,1,117628,197614,10995,8289,15422,2583,999,1282
43,0,44,1,1870361,238048,80623,34531,68871,12516,9703,3609
44,0,50,1,111772,10801,9232,2858,1554,855,768,166
45,0,38,1,1582175,634235,41785,47591,16033,13003,4088,2845
46,0,51,1,2265478,228312,73692,16330,7482,3445,6186,2257
47,0,50,1,690503,43056,14853,2874,6707,1972,474,880
48,0,23,1,109227,76804,1328,2477,785,1204,419,173
49,0,38,1,327451,69914,41691,11212,2059,3483,1614,1404
50,0,37,1,891667,324583,34385,64186,16180,20625,4938,1552
51,0,34,1,1263355,273732,74249,10811,66095,11549,3970,3651
52,0,54,4,956087,92068,33349,13665,8457,4632,2066,917
53,0,51,1,858312,637256,283080,34392,6574,9451,3694,1612
54,0,51,1,240804,237495,49290,9772,2869,3093,4442,1016
55,0,60,1,383953,50884,36128,9158,9150,5185,4335,331
56,0,51,1,100870,11835,389,1810,1453,468,197,234
57,0,57,8,581168,6521,12063,6278,6228,2430,602,992
58,0,61,24,257083,346532,121294,22381,19386,40941,3690,4475
59,0,53,24,1984512,246548,34248,55484,26052,16886,9243,1552
60,0,50,43,111155,9189,1110,1123,5903,3508,576,409
61,0,34,38,509442,78548,9950,8348,11791,4667,3900,780
62,0,38,43,718304,17618,6975,12226,9966,6325,4963,1455
63,0,29,53,111198,6790,1030,1103,9552,1299,845,725
64,0,38,37,1014226,65059,10879,16673,35443,3717,3065,958
65,0,38,43,1908734,22276,2314,6446,21465,4233,1757,833
66,0,38,40,834767,15164,5742,6678,6198,2973,1501,998
67,0,51,37,1280263,21607,13183,8412,13599,4052,1805,3067
68,0,54,35,1046424,41190,13199,9084,13426,2401,1087,1283
69,0,63,35,1321142,82843,46818,24227,43786,18798,7757,7618
70,0,51,29,929309,27076,4002,1134,7101,1988,2463,475
71,0,43,23,481136,39724,7595,3662,5535,1830,2031,287
72,0,34,29,233182,222298,7381,26016,9777,26573,4407,2186
73,0,29,14,893483,96037,22549,7697,1603,2719,919,1387
74,0,29,10,381111,568946,61930,36014,16665,24854,3086,2733
75,0,35,14,304713,126182,61803,7797,10364,13171,2241,1545
76,0,40,7,543328,94691,16004,6786,6611,3748,2513,1753
77,0,30,11,670310,193977,10528,14002,4278,8039,1051,802
78,0,41,8,913687,113247,13630,41791,4562,4232,1191,1210
79,0,35,1,302533,260699,54443,7150,6949,8099,2636,1572
80,0,40,1,1450226,95732,18166,19290,10451,5085,783,1367
81,0,43,1,116246,32338,3629,2707,5153,1066,691,535
82,0,34,1,371885,59416,6617,4938,3610,1179,1239,258
83,0,37,1,307832,138713,26744,23014,7925,2333,3417,1185
84,0,41,1,358578,85410,44486,10686,2885,3655,3551,1434
85,0,54,1,83548,16740,8801,3479,597,566,707,180
86,0,63,1,512780,86308,20245,20978,3769,2535,2864,1323
87,0,53,1,539069,292778,11980,17562,7207,4023,2607,1683
88,0,43,1,44414,56261,10618,2092,1721,798,512,250
89,0,27,1,72997,41193,1597,5017,3261,2682,984,152
90,0,14,1,1034115,439023,23642,20778,15245,3521,4066,1667
91,0,24,3,58174,46798,11030,7370,2793,9371,6279,960
92,0,10,13,613224,103691,2923,2318,8388,2641,2523,680
93,0,23,23,1047716,25360,8875,13754,6664,8761,3345,726
94,0,43,43,278229,49353,51911,11546,21118,10685,4351,1919
95,0,40,47,64595,13972,2073,2169,3514,3927,971,522
96,0,60,54,2338145,82180,23878,16148,18960,7264,2605,2081
97,0,56,44,142298,47257,24607,8066,26473,4416,1582,1346
98,0,50,37,1226411,281982,83439,56016,36637,14190,9708,3825
99,0,61,37,104981,3691,11402,2515,12596,3570,1207,695
100,0,48,48,17270,2011,130,649,5730,844,146,612
101,0,48,53,628879,88183,32665,17113,13363,14280,7304,3138
102,0,48,53,978225,82970,6494,13792,4003,3918,1084,545
103,51,26,53,1148250,648435,10019,19641,63867,25278,2544,2354
104,0,27,38,474908,33782,23739,13684,12747,1819,2628,981
105,0,40,21,526862,96285,24063,7528,11693,4965,2587,755
106,0,38,21,1832046,118554,22415,39907,29691,17719,6742,1875
107,0,54,34,76268,39030,5129,5277,5029,9151,1832,759
108,0,47,43,1348015,86166,30483,25123,32255,15008,3691,1484
109,0,57,53,1425981,238222,229258,122419,7793,65901,11792,4365
110,0,44,50,419286,43095,2235,2602,7106,3064,1947,411
111,0,53,50,40647,16533,7277,6166,5505,6389,2634,1004
112,0,44,41,373257,117210,8577,11616,5295,5144,4750,773
113,0,26,41,45104,87106,6167,12907,27047,11670,3320,1404
114,0,48,51,11598,12699,12716,9158,3075,7676,4674,1738
115,0,48,54,9729,13225,11727,6827,13675,9561,4934,2255
116,0,57,57,173964,16124,2943,6405,4429,1534,700,476
117,0,63,53,1139794,23590,5634,3071,9039,1969,2750,996
118,0,56,47,1173020,13295,7209,1447,5456,1766,1961,991
119,0,47,34,58986,19148,5052,1339,10858,1498,390,1437
120,0,34,29,667853,74096,2153,7657,12121,3203,2044,734
121,0,26,26,1109017,387887,12536,37808,24883,17622,9381,5189
122,0,24,30,41899,29562,17033,5324,18283,7439,2915,1862
123,0,23,30,32314,94334,9728,7100,5450,7658,5322,2909
124,0,38,48,10909,27941,18333,9908,9794,15557,1656,1652
125,0,50,57,40021,27454,12258,9117,17754,6914,9823,1812
126,0,35,51,67244,55637,2123,3984,9168,4551,656,760
127,0,35,41,341877,155873,23828,3603,14282,3457,2048,1084
128,0,41,29,44697,3419,2576,1543,975,445,423,151
129,0,35,26,19955,6579,1833,1133,6256,914,197,546
130,0,43,23,1349887,24775,2013,4480,5651,1599,1075,535
131,0,41,27,1606720,185749,15803,16751,23467,7287,3065,5891
132,0,34,26,56505,4342,1879,508,1803,268,148,207
133,0,38,20,165965,42979,8264,11976,8572,2564,1401,317
134,0,34,26,19534,7230,1170,352,4173,1238,104,496
135,0,21,14,93987,380193,7829,7397,1647,2254,2422,1020
136,0,27,14,2320941,146523,110768,42881,23563,11102,4617,4318
137,0,21,8,138659,167990,19122,9319,2548,2403,1626,1614
138,0,26,1,1313721,173776,9936,24682,19964,4380,5273,1161
139,0,41,8,2690683,135290,20193,13623,16851,5157,2990,2025
140,0,27,21,43519,2569,734,355,2668,758,104,184
141,0,23,23,545596,59301,2811,4083,6967,1107,842,1184
142,0,21,35,1348067,23075,1893,2824,8370,3091,1319,1012
143,0,24,40,1065036,22704,6646,4073,7727,1908,2757,958
144,0,21,30,1496911,15404,1597,1899,5984,1535,1509,751
145,0,27,35,465673,45251,4487,3773,5491,1249,1844,1097
146,0,35,34,1206015,6790,2987,1371,7471,985,1115,731
147,0,37,30,132231,3574,491,1760,1883,252,425,223
148,0,38,29,1392785,19800,3188,1702,6844,1292,1149,1938
149,0,53,38,299607,15185,9144,7542,4365,2310,2008,308
150,0,61,37,1854389,84002,70126,45799,40011,15757,6615,3366
151,0,56,34,860986,168987,12282,22030,6228,5648,3283,914
152,0,63,30,2027963,43967,19860,7151,15699,2931,715,912
153,0,50,35,36499,73623,7691,9485,16624,9381,2095,1119
154,0,47,35,426398,32364,21123,4440,3759,5459,3333,1971
155,0,44,43,107122,66218,9540,3242,4940,5760,2304,1065
156,0,50,44,65721,12002,10068,2022,1971,1203,970,522
157,0,56,41,123240,88251,19161,24917,20627,10290,1293,1658
158,0,64,41,156725,3207,7261,1006,1390,1142,1098,763
159,0,88,50,7863,4893,21182,20618,9234,8477,4932,1815
160,0,84,57,23379,21694,1879,16781,6625,6415,6259,1620
161,0,77,54,212188,39659,3655,3103,925,2544,596,308
162,0,56,48,697364,193983,31113,8670,15239,8531,4967,2146
163,0,41,47,175863,7402,8552,5373,26820,3521,668,1206
164,0,20,34,2004881,56957,1477,1946,4101,1690,511,1109
165,0,21,27,1114259,50859,9727,801,8577,1322,1366,1398
166,0,21,38,251050,13736,429,4416,10409,3209,551,1417
167,0,17,24,2326532,341575,80488,15261,23598,11548,3045,6110
168,0,34,27,1078231,167459,26763,24817,18053,8557,4513,1682
169,0,34,29,214438,28144,105,5146,2395,1176,1243,2027
170,0,40,24,101904,24764,3476,15883,20903,2889,841,974
171,0,41,29,514358,176434,14046,39608,15253,13927,2650,1587
172,0,30,38,222781,20093,1866,819,4740,2512,577,798
173,0,35,41,1288533,88320,3396,20479,10168,6061,2220,2817
174,0,35,44,301311,24398,2680,11941,5942,4949,884,773
175,0,37,43,1164223,212327,30104,43445,19564,12286,3578,3999
176,0,51,38,1265251,48407,19061,10582,8097,4461,2330,659
177,0,40,34,405177,129249,7064,2672,6666,4443,3433,754
178,0,38,21,370974,199657,64349,24739,20472,6787,2362,1951
179,0,37,17,321106,28116,3520,4497,4592,1010,933,339
180,0,34,17,314209,66394,18405,14388,24547,6148,2877,847
181,0,41,23,238424,227682,13246,30315,8080,14401,4264,980
182,0,44,35,36302,56194,22290,16665,11313,9495,6161,2233
183,0,51,43,114677,33859,15153,4046,1928,4209,1176,548
184,0,48,53,33756,39655,8086,7821,5829,12779,1055,1718
185,0,57,64,9318,18788,1947,16667,10581,9258,2977,1454
186,0,54,63,153396,24087,6291,2500,1622,2802,1233,469
187,0,60,66,23547,11111,1773,12177,2244,4066,1877,3805
188,0,57,60,37888,33161,5548,3436,3269,3458,841,722
189,0,51,47,429054,104243,18860,21735,25434,6530,6931,2151
190,0,63,44,608832,67501,55637,27365,8159,9894,5653,4575
191,0,53,27,20501,10048,2751,598,1654,256,243,165
192,0,54,20,38258,8539,708,1888,1720,294,329,259
193,0,54,17,2029381,141373,19382,21896,10108,6164,3535,1539
194,0,50,20,2725499,86946,39479,26415,23447,12308,1510,3542
195,0,47,21,1190551,183451,13077,33105,23387,5757,5560,1831
196,0,61,23,945760,25436,36686,5337,6012,2739,2256,388
197,0,60,21,2025377,125893,4275,35624,18188,4483,6677,2168
198,0,67,13,2832106,75277,100156,43540,20047,6987,6579,3974
199,0,74,26,500908,5455,3152,3105,7390,1523,783,991
200,0,61,24,352742,36641,11613,3937,7777,1340,1200,857
201,0,63,29,1298664,111078,21702,25091,18325,8710,3929,3684
202,0,37,29,1051641,146603,7737,6870,31869,4712,12347,2503
203,0,27,13,726218,269072,24631,26734,6989,4461,1251,1216
204,0,30,14,266944,27473,12905,5074,6633,1325,593,319
205,0,38,10,901551,54469,36802,14784,13054,3380,2515,2673
206,0,44,8,710011,190429,23562,15157,21570,4695,3460,2168
207,0,51,8,1562459,512352,151344,29632,15706,10322,13965,4162
208,0,53,17,111628,8766,5334,2240,1659,1847,887,865
209,0,40,24,4624,31366,3530,3827,8955,3147,3522,4984
210,0,44,34,263669,25195,3256,6650,8705,1991,1046,530
211,0,43,41,631228,67391,9558,14221,7137,4568,2054,655
212,0,41,27,2621802,274659,127816,22262,14087,8113,3499,1985
213,0,51,17,521035,41835,14848,13102,5782,1771,627,808
214,0,56,23,1368957,54381,11677,21930,14131,8163,8501,2836
215,0,48,16,740743,31826,3720,946,5825,744,987,1041
216,0,47,21,71232,5515,1619,990,746,251,242,100
217,0,40,29,1224162,90471,18669,9829,8394,7619,3097,2140
218,0,35,21,893703,28724,4917,3340,4179,1636,886,920
219,0,34,21,678910,71363,2958,4354,6299,1418,1473,1797
220,0,26,27,348995,23694,5481,1560,5875,2163,477,1245
221,0,34,21,945193,93029,36189,26375,13529,5009,3307,1701
222,0,23,24,354262,40832,1631,2042,3600,2455,1185,777
223,0,30,37,491958,20940,7294,1387,9637,2239,436,674
224,0,40,38,518115,6380,3343,3798,5878,1155,558,933
225,0,29,38,601170,25595,5597,1105,5729,1014,942,844
226,0,35,37,845466,31207,3742,2133,6207,1694,1073,944
227,0,40,27,616313,58271,18144,8263,2741,2466,900,472
228,0,34,24,1892972,582434,102313,76129,65075,34542,4277,3112
229,0,35,27,71927,12727,2015,2399,1865,817,640,264
230,0,35,41,852490,8399,1694,367,5849,2126,536,1769
231,0,27,66,15726,1286,325,888,4801,1564,231,434
232,0,35,61,812327,143877,43822,33955,9457,5859,3217,2458
233,0,30,64,890237,184702,11326,27279,17561,14124,3649,1891
234,0,40,56,88824,27734,6240,6543,11697,2634,528,438
235,0,41,29,391090,34927,3431,3437,3087,1124,1524,365
236,0,43,29,334174,29804,16406,5156,2029,1538,516,411
237,0,34,13,338591,581945,34618,7165,7610,5484,2753,1198
238,0,37,13,2576951,42997,16342,17804,41526,4876,2001,2930
239,0,54,17,624114,14923,3165,21502,3982,1848,3819,782
240,0,41,26,83768,52038,5499,4590,15872,5687,4443,3237
241,0,70,53,20193,5081,13193,10160,3968,5237,3537,1214
242,0,75,60,81575,46548,4444,34305,10365,11452,3601,1126
243,0,61,66,187420,32192,5568,8183,3511,5947,1305,657
244,0,69,80,12055,5749,2306,1534,3405,3619,1816,341
245,0,51,77,422293,57937,13551,6660,15795,11496,5227,3227
246,0,53,69,16560,40810,21502,10369,6873,4594,3698,1743
247,0,48,69,57012,9132,1202,1272,1362,1324,492,393
248,0,56,56,43665,32959,18904,12954,3608,4798,3142,3699
249,0,63,60,140871,5491,2601,1567,2714,1958,1015,1137
250,0,54,61,71999,37907,7693,4155,4502,4127,3645,1622
251,0,53,78,80224,2567,937,831,2343,3724,990,429
252,0,41,70,669108,222167,40195,14293,14870,7969,3865,1817
253,0,35,70,340110,8184,3211,1495,10505,2934,425,1303
254,0,17,74,1613871,22504,565,834,6349,2327,1025,324
255,0,10,51,1111445,16763,670,1860,8754,1397,1331,632
256,0,14,57,1051340,13187,1539,5533,6122,1043,630,2068
257,0,24,53,165728,12919,11245,2389,5662,3165,1235,504
258,0,29,34,406230,71028,3971,1832,3649,735,481,523
259,0,41,23,1691996,161573,38309,14258,12013,4389,3516,3086
260,0,38,26,814954,14845,4073,1462,5226,1776,1429,1128
261,0,30,17,1527948,116890,30240,14472,8661,7350,2038,3648
262,0,47,34,115189,13456,1732,5629,5255,1088,574,682
263,0,47,40,37196,4633,897,977,1842,312,375,297
264,0,40,54,11583,2088,720,522,4856,1692,114,803
265,0,30,64,242653,11343,988,2077,9583,2962,1111,439
266,0,34,63,119715,20159,5473,4870,1473,1150,436,251
267,0,48,60,673574,68465,86305,12846,14588,5697,1592,830
268,0,50,44,729628,77262,8874,8201,27415,6703,1273,961
269,0,50,20,376896,279441,28540,9620,18410,3103,864,2679
270,0,44,35,927203,8245,3054,2750,8597,3253,572,904
271,0,13,43,631528,44353,446,1765,5060,4421,925,644
272,0,13,40,71799,2389,264,502,1810,150,415,279
273,0,27,51,19890,2094,978,1132,1232,181,529,237
274,0,29,34,1319813,65257,14988,13277,19319,2159,3009,2626
275,0,43,48,4977,1334,317,862,3893,1647,105,484
276,0,54,54,142151,29620,8994,11748,2273,5535,2415,445
277,0,53,60,737643,16311,10263,2148,5829,1939,918,360
278,0,51,57,2075913,226055,54632,15754,15749,6647,5317,1545
279,0,48,27,195438,80369,3876,6450,4613,1658,949,454
280,0,27,10,1248037,315345,6789,16104,12471,3696,2590,1689
281,0,20,7,33064,6429,1511,349,1839,421,389,177
282,0,13,11,400800,22903,2955,1023,3773,1039,334,374
283,0,20,24,184886,94507,18927,6640,8480,9087,2657,1460
284,0,35,53,27825,18001,7467,5527,6484,11918,3506,1617
285,0,41,51,66872,9632,1979,3001,1467,607,1009,184
286,0,50,63,2895,17551,1144,9223,8354,4213,3035,1440
287,0,50,64,239112,29770,4817,2993,2482,3481,1277,927
288,0,44,53,56212,14631,1777,2155,2557,1976,1735,1049
289,0,38,66,114564,11094,1757,2181,5031,2746,616,355
290,0,35,56,51283,18790,4384,1032,1400,1078,1146,291
291,0,53,57,568353,26069,48911,17150,13357,9689,1636,670
292,0,64,50,325316,64568,33375,13770,3353,4126,2300,803
293,0,63,43,60883,148635,21348,8112,5205,15287,5092,4626
294,0,70,51,1484283,94419,40792,45005,22657,21704,2552,506
295,0,43,41,729614,394497,50576,54027,22351,18016,3315,4123
297,0,50,35,232519,36562,8539,6104,1510,1859,445,641
298,0,34,29,1520495,181859,10248,10032,10760,12639,2151,1237
299,0,29,24,473788,246836,37620,8731,2121,5725,1985,999
300,0,35,24,791764,74798,20927,8746,6734,4035,1566,508
301,0,24,26,1316176,254314,22603,23093,43139,14128,7354,7019
302,0,41,10,268076,227983,8236,9615,5849,3930,2308,2658
306,0,48,20,513175,119437,29849,10737,10316,5161,4784,2073
307,0,50,17,932765,70793,46017,19566,16141,3521,1561,923
308,0,51,11,969585,38277,40120,14535,21570,2855,1592,1822
309,0,61,16,776141,167264,21800,19145,4275,5181,4655,1946
310,0,56,7,1194221,371464,18472,35721,7093,3961,3721,4756
311,0,53,8,904405,102174,24000,48253,17309,4862,3958,3133
312,0,47,16,234481,18430,4616,7072,5399,2418,576,459
313,0,35,20,1894034,73619,3299,3391,30581,3322,2470,2420
314,0,34,27,24086,71253,7367,3845,2560,2282,957,234
315,0,24,21,742331,184703,34707,13011,12277,3314,3822,1223
316,0,23,14,416097,25445,2347,8271,3637,1395,876,479
317,0,29,14,779383,16607,1823,1391,5530,738,1460,459
318,0,35,10,82234,146380,27561,5308,5904,2835,3500,1301
319,0,35,13,77470,57721,10640,1898,2122,1180,523,232
320,0,27,3,271325,205562,21105,16462,4683,3264,1342,506
321,0,40,1,1324435,84867,37944,6882,10679,1609,1742,745
322,0,56,1,698454,110754,165678,26683,13097,10842,11948,4192
323,0,77,13,567836,16080,13597,37097,7672,5189,2325,717
324,0,84,20,380146,105269,14093,50868,20710,5223,3119,1581
325,0,83,37,1516004,171418,24984,45480,17453,19009,5269,2097
326,0,83,27,458772,52640,74856,2784,5101,1632,3767,511
327,0,64,20,420689,137259,27607,13002,6062,4452,1456,802
328,0,60,16,249537,115764,38471,1870,5368,3273,3234,971
329,0,60,10,1205900,115285,20460,26703,18143,5392,2090,1769
330,0,43,16,1621582,228800,42793,19837,13559,8656,1770,1195
331,0,34,8,284537,75452,2440,3719,3964,670,813,812
332,0,30,13,228778,65752,15313,2958,673,3283,1565,615
333,0,14,1,145853,69011,1316,2669,1341,681,199,221
334,0,27,7,2058324,46794,65633,1688,17118,5780,1645,2238
335,0,47,17,476237,9167,3574,2672,2137,593,772,295
336,0,37,24,498276,13552,1037,747,2336,1118,258,131
337,0,53,34,435131,179667,38529,21837,7463,5723,2787,782
338,0,47,21,821391,159627,65687,11950,3216,3565,2984,2260
339,0,40,17,273226,130612,37373,4022,4639,4296,3275,1360
340,0,43,11,852982,127510,9950,7434,11013,4135,1671,2228
341,0,48,11,201118,31499,16009,5228,3341,1212,515,356
342,0,47,20,238069,39212,11345,4946,6524,2030,2521,453
343,0,48,35,1291458,97056,40417,12290,13165,23288,5163,2365
346,0,50,53,37334,15190,8633,358,1716,1974,843,329
347,0,44,37,654032,272577,53612,3344,4314,6541,5178,1062
348,0,40,21,1385290,189844,49853,44361,15183,4340,2753,807
349,0,53,13,460610,199309,44769,29235,7592,3870,1900,2070
