2019-11-16 18:54:12.384490
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2,25,0,0,1467721,216305,7840,86290,85972,83213,95165,35560
3,51,0,0,1969644,205996,49921,22506,12059,25899,10313,8410
4,51,0,0,1709604,298378,77175,23331,52111,102851,84229,59317
5,26,0,0,1635896,983826,191516,148815,104657,185338,306704,286183
6,51,0,0,1765564,421324,132648,249146,52363,80047,33469,30301
7,26,0,0,540377,81728,13186,13147,42539,29090,4530,1959
8,26,0,0,375771,35081,4327,6724,51996,17822,2999,791
9,26,0,0,1024522,74793,17601,29304,72962,42693,16125,5818
10,26,0,0,1052830,251895,84765,35343,26569,115289,17253,6313
11,26,0,0,146853,6371,6871,4910,6595,4723,4290,2331
12,26,0,0,1618753,19989,10018,6613,7452,40063,63311,24140
13,26,0,0,1115412,619466,26767,33888,210426,122334,29431,33513
14,51,0,0,845859,125887,51773,49506,127542,47660,18574,9474
15,51,0,0,399290,90852,19678,38926,72975,49333,6167,4653
16,51,0,0,1288782,130186,181737,226959,400980,250434,100309,41237
17,51,0,0,1521192,925589,349984,206193,229554,256505,143092,46956
18,51,0,0,565556,48132,19335,29149,86480,52655,4853,5198
19,51,0,0,683397,105320,52371,40999,21122,7488,3052,3916
20,51,0,0,934182,442563,28157,69255,123932,112813,13769,40506
21,51,0,0,646445,4349,3638,1497,787,655,381,1407
22,51,0,0,552435,20885,16002,25457,42763,38768,14149,42299
23,51,0,0,1994096,704595,614761,282956,222502,455726,138889,56164
24,25,0,0,1143140,130477,118848,166922,186718,119049,10830,14472
25,51,0,0,1671786,535788,195847,111546,54961,303157,70629,114962
26,51,0,0,1339994,41847,10900,7768,13729,3135,1192,651
27,26,0,0,2156793,197690,50623,50751,52959,25871,12770,2562
28,26,0,0,2861345,250681,57533,103267,40219,78495,6569,3995
29,26,0,0,1687369,61891,21583,56385,36817,27389,13067,3348
30,26,0,0,848216,86186,5861,6050,8074,4184,7224,1606
31,51,0,0,673266,66866,2135,11306,16192,18903,3366,2973
32,26,0,0,68303,10569,2641,418,6812,25787,24678,2947
33,26,0,0,713975,269788,78727,119336,143256,45591,6051,4656
34,51,0,0,672607,827371,372160,78867,416413,99515,60200,13357
35,51,0,0,211705,3110,2580,6776,6728,4871,3117,3026
36,51,0,0,2237137,250812,159736,129134,142719,60909,70145,29237
37,51,0,0,962639,89492,18668,15951,30860,24929,7852,2953
38,0,0,0,2499193,69278,31337,30470,74392,16439,32606,9166
39,26,0,0,843247,131050,8460,25177,32846,30052,2584,982
40,26,0,0,723881,30072,2247,3364,17643,15495,6870,3030
41,26,0,0,122870,8860,7840,4024,6691,6545,6016,2700
42,26,0,0,1379041,166317,224702,25418,207305,51363,10756,5737
43,26,0,0,1243461,541249,30340,40742,24148,37209,22349,23758
44,51,0,0,1641244,351541,126627,10749,27508,113290,55895,18140
45,26,0,0,911693,105166,5986,14638,14199,3122,5161,5365
46,51,0,0,95306,19539,11922,3873,19011,3859,1995,2516
47,51,0,0,623777,52398,49774,43044,2861,15426,18666,5506
48,51,0,0,1754712,759247,70422,132148,236907,901908,670221,241881
49,51,0,0,1953450,1301201,412797,356986,212359,58001,57671,18384
50,51,0,0,1894894,695905,22224,50269,158330,113220,89459,60167
51,51,0,0,73561,27024,19242,7310,9703,5276,808,886
52,51,0,0,181800,8490,6673,43128,23645,37887,17546,12410
53,51,0,0,761089,39339,11239,11483,6720,16893,15718,9797
54,51,0,0,1081600,561709,186488,66946,157365,96013,57898,19578
55,51,0,0,267632,567745,11266,67058,26073,34254,12429,10199
56,51,0,0,639953,41731,61131,79027,28272,35576,19689,11883
57,51,0,0,881064,115096,58366,31909,26544,17551,12941,7948
58,51,0,0,1816730,255867,36970,20982,42464,15736,20595,5572
59,51,0,0,1116537,1839294,331183,515672,913732,1335128,401833,123785
60,51,0,0,558690,50784,37582,44649,30542,17958,19347,4532
61,51,0,0,403657,92645,126837,10711,85573,69309,11814,13280
62,51,0,0,271209,162474,126628,96423,42252,42283,16664,13434
