2019-11-06 13:45:57.815169
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2,25,0,0,1638404,424982,87568,47806,49081,22614,29197,6766
3,0,0,0,2256071,33235,13420,15422,62839,27024,44613,2186
4,26,0,0,3073652,89282,1898,20936,78310,33729,13412,3755
5,26,0,0,1773933,14207,7834,18124,56823,4333,25304,3574
6,0,0,0,552333,8032,1308,6565,9941,3880,6493,1458
7,26,0,0,801831,108599,23980,17417,9252,9844,4975,2172
8,51,0,0,560953,1152173,241080,83695,49001,39301,7477,6006
9,51,0,0,1350083,2153,857,2019,9071,2653,3378,520
10,26,0,0,695095,23085,4058,82,14832,3622,10711,1187
11,26,0,0,3060040,55093,81742,31364,71730,6957,16434,4372
12,26,0,0,773198,17291,5863,2895,2248,2313,659,744
13,26,0,0,807663,135631,34114,24085,53678,11589,23501,3629
14,26,0,0,1867738,31001,19366,34473,38549,9092,10598,1680
15,26,0,0,2564631,212469,83446,41144,69128,60577,17571,18869
16,26,0,0,1258392,162587,40564,111496,57699,28009,5198,5815
17,51,0,0,262025,27777,28064,22118,13284,8880,2781,3240
18,51,0,0,181844,10740,701,1647,4215,1431,698,115
19,26,0,0,825489,50464,4341,17133,44588,10576,13594,1802
20,0,0,0,1410259,3032,3330,2799,2032,4512,4978,95
21,26,30,30,352996,135875,7837,5656,29053,6648,29940,1538
22,0,30,30,1008881,8236,1332,1690,9742,958,5102,515
23,26,53,37,1414437,82693,57055,19613,29784,13622,9476,1786
24,0,53,37,331049,37680,7384,4137,6481,6688,2135,1159
25,26,53,37,2259103,97319,28777,40260,44625,19981,9820,2693
26,26,53,37,684183,3727,703,1737,7645,2055,3397,813
27,26,60,60,726828,19287,11623,9151,49750,29635,6511,1521
28,0,69,57,346566,84419,21669,9415,17637,11104,8263,896
29,0,93,78,2136804,7027,10735,11362,41720,7869,12045,1242
30,0,93,78,2214024,29192,5362,8877,33463,16529,14196,4334
31,26,81,94,904779,57802,27398,10478,13962,60417,3465,1367
32,0,81,94,1106834,4786,3210,3956,4048,5654,9710,410
33,26,81,94,1021393,16625,3418,1864,6123,23511,428,355
34,26,81,94,3148436,83493,16122,38073,31646,29846,7585,2197
35,26,81,94,232617,2382,3995,2850,9147,7595,3371,619
36,26,81,94,1116088,137886,3688,16362,12869,5106,1556,1795
37,26,81,94,3009132,447128,33341,116038,69110,50927,7423,1773
38,26,94,66,1536673,158931,52391,49660,20689,17253,11415,3515
39,0,80,50,526894,1750640,114504,83020,150142,49126,20737,10165
40,0,78,43,42675,9406,2046,2248,1537,2021,359,159
41,0,80,11,143392,19370,6149,1285,5487,1273,932,922
42,0,78,10,1869706,35783,21554,6367,18361,3646,9070,1902
43,0,100,8,926850,28252,16097,5349,7345,892,701,233
44,0,96,23,3977,1862,1977,380,7366,2485,200,923
