2019-11-04 23:07:38.555260
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2,25,0,0,463114,293382,40887,8401,16238,5036,6157,3671
3,0,0,0,397965,370725,90701,49044,17790,18713,9545,3377
4,0,0,0,1399310,416838,56396,44196,14723,16343,20154,4402
5,0,30,54,89544,15245,1355,1577,624,682,396,173
6,0,38,63,109402,14523,2711,2270,1856,543,531,214
7,0,61,87,151641,23661,14064,16704,8737,4277,2274,1374
8,0,50,100,649385,256802,12804,35708,8550,16098,10372,1310
9,0,64,100,1387156,72328,18759,37491,49259,20079,9872,4153
10,0,43,100,1309550,359612,19098,41525,29118,22361,7668,1871
11,0,10,88,111490,104280,14955,7504,9125,4836,4266,690
12,0,7,77,49491,92472,7261,8342,25253,4331,2019,1607
13,0,1,70,687124,29192,7727,3614,11077,3914,4033,537
14,0,30,80,1436651,13182,7019,10990,9952,3294,1457,1460
15,0,44,83,1256179,46075,11469,7433,6505,3213,1397,275
16,0,83,94,666788,10371,12990,16607,4756,3523,1584,928
17,0,67,97,1795413,171663,19072,11156,28780,26105,6486,3420
18,0,47,90,558947,104591,27482,9740,29027,7764,6504,5959
19,0,23,94,1863473,23752,2393,3026,21430,1965,2206,1786
20,0,1,88,1565072,36730,17127,23097,107661,4582,7486,2495
21,0,16,75,435728,13586,5736,4903,4021,1129,1653,726
22,0,21,74,39446,13069,3297,2602,1366,1005,449,218
23,0,40,67,985997,36222,9695,6660,10335,2491,1086,1434
24,0,34,83,122862,17366,2498,3350,11967,3419,750,976
25,0,20,70,378137,473742,60642,58324,23141,14506,6288,2837
26,0,16,67,1419968,58206,8543,13068,8167,3090,2033,1190
27,0,3,78,402951,24276,3311,2070,5921,2787,1013,1378
28,0,4,69,539059,45789,6484,5385,3981,5310,3295,2475
29,0,10,80,1636165,82950,18017,15457,32621,6125,4692,7018
30,0,4,88,28356,6441,1750,986,5236,593,356,328
31,0,20,78,2351979,201673,68162,19878,51990,11038,6652,2121
33,0,17,70,1268143,250168,58241,29108,43607,13728,5640,1704
34,0,34,74,193174,20388,11993,11095,14824,5564,974,1548
35,0,30,57,898521,21667,5496,1554,5887,2743,912,1379
37,0,30,69,748830,35776,7422,3052,12941,2774,2057,2523
38,0,26,67,25651,3976,2206,840,2341,754,167,622
39,0,43,51,2055888,90582,67772,11115,23661,4057,2846,1562
40,0,44,43,116854,5975,1297,1787,1153,307,217,219
43,0,14,54,64368,8291,462,868,3609,494,371,597
44,0,4,47,2406690,215405,40770,13286,34016,4716,2702,2315
45,0,14,44,198479,39425,11150,4305,6075,2124,1788,953
