2019-11-08 19:15:49.848920
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2,25,0,0,763209,144500,15132,37913,75790,40987,14085,4800
3,25,0,0,1113818,55776,40446,16332,36468,8702,12241,3812
4,0,0,0,847787,6738,17576,27344,86323,27499,12271,2867
5,51,0,0,156979,50393,11109,9603,33510,7072,13138,2237
6,0,0,0,1335535,177152,42968,100235,57701,33154,5751,3082
7,51,0,0,156831,8491,3392,4421,15265,2736,1337,712
8,0,34,44,878815,27631,8720,6475,25543,5357,3631,1691
9,0,41,34,945535,63537,36743,15211,37052,8694,3106,3398
10,0,41,34,1106623,348735,232789,132651,87218,33352,10432,8543
11,51,51,29,807150,15234,6588,2750,3548,2207,1253,257
12,0,41,27,36815,11303,699,2527,2586,1445,182,212
13,0,57,4,344463,121955,57206,10582,7626,2606,2605,3867
14,0,66,17,359372,15028,7556,5703,2892,1576,1716,521
15,0,60,20,1800981,182458,61817,36049,55029,13889,6754,2622
16,0,83,35,1601799,33719,24878,15113,26523,7602,11931,1720
17,0,69,61,437146,54177,11214,14213,28450,7100,12722,625
18,0,35,56,2020875,584425,48773,28732,22705,29516,21730,6223
19,0,26,40,761195,30537,4072,3708,4453,604,1098,308
20,0,26,40,1396380,67513,31167,39425,38505,58988,5161,1565
21,26,4,38,2392323,540329,100205,35525,145746,59524,23214,6993
22,0,4,38,120108,8686,2907,4797,4205,3745,1042,422
23,51,1,13,1919825,947830,151594,42821,60120,20215,18942,4569
24,0,14,29,820424,48494,20793,2612,15910,9573,3388,1760
25,0,10,60,1095555,107673,11456,16111,21822,15737,4913,2656
26,0,10,60,788497,43944,6529,7017,2726,3397,1391,414
27,26,10,60,680027,55882,21426,33125,35789,2783,1552,1371
28,51,1,60,1173393,82833,7061,5165,11442,8070,5102,1225
29,0,1,60,1129419,782888,85537,169162,169500,140540,21645,18340
30,51,1,60,1931106,95435,24667,40515,34137,15854,7628,4371
31,26,1,100,1849243,11662,8236,3666,60977,17671,19905,4979
33,0,1,90,829707,8418,1727,1768,4211,3151,4793,466
35,26,1,90,2349342,137419,6190,22310,32235,14193,5466,1785
36,26,1,90,679064,9925,4871,3879,15863,4334,1911,498
37,26,1,90,652509,38686,2107,1945,5513,2357,2015,355
38,26,1,69,185833,48278,2804,6244,7731,2401,3725,960
39,0,1,69,1187545,3442,2836,5873,5417,2675,1535,530
40,26,23,67,1866492,36991,36961,19266,37364,15039,18256,2182
42,0,21,40,421174,132217,9826,7873,14009,8385,10896,3355
43,0,21,40,741889,13286,1061,3231,4758,1238,870,310
44,26,37,41,2113371,419830,94798,73480,115718,100594,40508,10232
54,26,37,41,1017157,5036,2002,1671,4716,21423,258,227
56,26,8,38,876940,115094,8326,11515,35272,13911,13848,2377
59,0,1,74,505000,11867,2492,4897,44876,11059,10039,1508
