2019-09-21 23:23:27.920496
Time,Poor Signal Level,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2.1976318359375,25,0,0,151600,7650,2016,357,1038,1553,415,124
3.21928071975708,0,0,0,14571,9578,7767,4962,4274,6990,12916,4344
4.221376657485962,0,0,0,754540,145151,122678,18540,36904,16155,12741,3692
5.282093524932861,0,30,40,1318381,129191,33137,6143,31178,21413,18582,25406
6.208524227142334,0,13,26,209950,129945,11408,4000,2054,4791,2737,1085
7.217512369155884,0,29,23,235105,47533,41383,34272,24822,10333,5319,1835
8.210435390472412,0,24,23,7505,19530,3631,2351,775,2970,978,535
9.217549324035645,0,20,16,134068,78596,10163,3786,3289,6348,3343,387
10.209120035171509,0,35,26,16768,25569,5475,3799,7610,3207,6248,3203
11.213740825653076,0,16,44,70798,4603,862,1574,453,2385,637,836
12.098802089691162,0,23,35,88145,62115,20907,4651,3784,4423,3986,5492
13.08163070678711,0,41,38,300562,59276,27413,9791,15637,7954,2825,869
14.101201057434082,0,38,47,82276,41492,9755,6338,19689,10788,6817,7233
15.09343957901001,0,37,38,248192,10144,929,2782,756,2361,778,767
16.091872453689575,0,30,56,65122,24247,6296,6355,15808,9252,7533,1521
17.097806692123413,0,11,83,106776,1511,99,700,1750,2107,459,173
18.173450231552124,0,3,100,29135,11443,1567,3844,8496,20646,7095,2981
19.207961559295654,0,4,91,1371671,138250,48452,15662,37560,16509,23024,9175
