627001	132490	20615	7760	22836	12877	2728	2012
1302825	576885	48482	69192	18911	17049	9132	5981
1416854	129581	9437	10077	20573	7960	1085	805
171794	6431	1114	8816	1538	2580	358	655
477218	491538	46938	14582	40380	27472	14772	4157
354661	8726	2327	6773	2430	1528	1791	453
1141516	361164	53151	25115	16729	15554	12607	3974
283245	39050	4172	810	2918	2755	2672	3002
6409	10148	10272	3981	5887	33509	25618	5301
1250941	306610	40682	34298	29580	15399	2528	2960
1032949	93243	41683	14261	19614	14112	6100	4735
392380	291365	28620	22382	10991	18513	9788	5356
1468978	285763	5166	44603	9090	15527	1869	1897
671337	43180	9482	10595	5501	3186	1229	576
1252939	46011	95910	34738	58252	25990	20501	4328
241220	49493	5751	18379	1376	3551	2049	1017
868039	82602	57919	27852	11241	16929	4664	6089
54460	32890	7408	40489	25050	10144	2470	2095
608833	32505	17548	10109	13399	14732	8859	5427
531294	59226	5814	23045	20454	18618	11504	9612
370147	147394	28014	41505	30818	15347	9382	7896
1058473	31741	22053	14113	9877	3767	2870	1328
1405445	30012	10507	4056	9544	3607	957	418
224623	11351	1565	7579	11095	6516	1037	583
2274145	622379	56559	42647	29141	26742	16447	5659
367828	6330	3121	2804	1161	2219	932	352
322899	30175	3357	3184	5017	2228	452	425
1883171	1386129	291082	125700	91209	66384	13700	4732
539245	230724	17317	14981	57264	79222	7912	3948
1893882	80802	174953	109697	131353	86895	10870	7570
693935	76244	11707	3725	2841	1737	786	229
753268	342363	23722	35072	42338	16825	5802	5705
758567	6403	10111	4517	4928	1397	1164	295
544477	76848	11049	20736	23355	15413	2206	2361
396347	43330	2699	4477	2124	3131	1061	447
1587547	118168	6933	13896	11281	2428	5282	1285
1720249	161043	44346	25658	16913	13499	8873	4775
2062319	400188	34314	42397	12828	14779	18655	3724
265716	85156	3038	4822	1422	4013	4039	1547
24873	10611	4501	3165	667	702	837	540
1443944	169289	81428	56589	22688	15658	13404	3499
109412	68584	32441	2405	14188	5448	3509	1258
857256	67022	33088	43116	35693	12174	3327	2391
1228430	17844	7659	9370	11248	5702	5718	1105
1220145	183010	22356	31835	69646	23887	3956	2432
763065	6823	2926	2189	1104	1287	1639	257
1966835	303494	21489	21389	13553	13666	8148	7021
915038	657266	107963	14291	31260	14468	9535	4379
359753	134455	203475	33967	105812	40854	5352	7408
915592	126333	39448	18245	25573	6669	4264	2410
6032	33267	2354	9574	14002	27553	4582	3301
254104	121553	11976	14718	16907	11867	6858	5142
504571	73544	43272	22538	8102	6932	1595	878
2072671	402045	430148	83617	141250	52800	8037	3704
1037174	184992	45113	28764	15908	12875	6102	2931
684733	91727	8499	19693	20498	8253	5948	1409
638584	127290	12813	18083	44264	18491	9865	1174
657329	70430	51297	15920	13533	12286	5916	6110
147624	43067	43240	13339	23114	20806	11548	6056
1468455	83895	42671	20467	7005	6698	3117	1329
