2019-08-29 07:04:52.339879
Time,Poor Signal Level,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2.092,80,0,0,59337,6579,842,1420,2619,5060,5772,1944
3.097,80,0,0,19275,7823,1254,299,2096,1594,1187,1546
4.109,80,0,0,45140,9045,1586,1455,1764,4664,5365,1625
5.103,80,0,0,62990,19330,2671,2486,1714,3979,3738,1115
6.092,200,0,0,68021,12723,2501,475,2026,4151,7521,1940
7.114,200,0,0,27311,5321,3827,1346,1819,693,422,1145
8.107,200,0,0,11554,5596,1600,194,3962,1313,1018,1206
9.097,200,0,0,21587,17215,5341,600,5371,1631,337,1576
10.091,200,0,0,18257,13008,1723,1062,6363,2597,1098,2012
11.105,200,0,0,1642162,286121,72170,150427,65333,129931,117301,62917
12.099,200,0,0,1746120,219153,206664,85368,61852,73063,146142,82490
13.090,200,0,0,205590,4105,2845,340,2975,3475,8712,1589
14.106,200,0,0,158476,7267,2640,1593,1392,2595,1562,2061
15.097,200,0,0,184815,10278,4165,3768,4175,6437,2834,3021
