663.15608	167
663.15622	152
663.15634	124
663.15643	99
663.15652	85
663.1566	80
663.15668	92
663.15676	103
663.15684	85
663.15692	49
663.16061	18
663.16074	-2
663.1608	-10
663.16085	-6
663.1609	16
663.16095	34
663.16099	35
663.16104	33
663.16108	39
663.16116	44
663.16121	51
663.16125	59
663.22105	75
663.22205	97
663.22276	122
663.22485	137
663.22547	117
663.22596	82
663.22625	59
663.22638	48
663.22649	53
663.2266	71
663.2267	98
663.22678	123
663.23034	128
663.2305	97
663.2325	56
663.23265	27
663.23278	18
663.23288	23
663.23298	42
663.23482	51
663.23502	35
663.23514	0
663.23525	-26
663.23535	-39
663.23544	-50
663.23556	-50
663.23565	-34
663.23574	-6
663.23583	9
663.23592	12
663.236	18
663.23609	6
663.23617	0
663.23625	12
663.23633	37
663.23642	53
663.2365	64
663.23658	64
