696104	8608	1779	1986	8883	1332	1285	1370
174479	26205	1472	621	10658	2321	648	1001
1326573	94657	28662	31714	12307	3857	1378	3207
544486	48722	834	7401	3507	1922	247	771
1778957	81055	19715	6797	17058	2612	4916	4076
277487	9935	2871	7304	4152	1160	552	1295
145413	15571	4114	13325	3591	736	586	675
3177564	103576	7174	20167	11492	6095	8104	1815
39842	9251	1371	1157	2960	632	202	205
36868	10120	2830	1073	1622	543	145	195
1298502	94962	19267	13689	17667	4013	4460	1627
545619	35306	3776	2755	5833	1414	840	476
504168	7336	5643	1759	9838	1179	2919	1423
198331	27942	4149	5175	2726	693	1272	1068
506314	138524	35662	23856	21720	5582	2064	1365
273486	22911	9717	8303	2241	598	793	86
180266	171958	28097	6723	4267	5080	3669	1813
1070502	51986	15604	25172	4529	6443	3198	541
1457464	28361	998	4553	4929	1690	1551	522
758665	74903	6038	13487	2169	4884	2095	3512
945343	50949	16350	5900	4213	5749	2622	1249
1847811	277896	89813	51196	6239	15022	24399	2509
1808305	246567	135215	11599	35350	10725	11308	5277
1852434	180526	81188	39826	6348	10722	6819	1903
1433291	261907	161202	46674	10188	6093	2944	3589
331443	94374	16547	13335	11105	7989	8897	2214
1628803	122429	198352	70890	16113	2545	4838	1603
1293348	316764	57652	22629	5210	12380	1857	5086
1158336	250538	148441	7804	11183	15984	7218	5234
1229952	69094	69394	10255	13188	16076	4987	4990
362362	1117630	16971	46479	14535	5906	3647	2115
657908	64879	10141	15572	10455	8627	7225	9672
1083447	27403	20271	30165	6694	8564	7947	3314
406613	92347	5909	8438	3632	3601	1431	695
132602	35217	3227	6495	6520	2763	2387	757
353111	32507	2429	938	4975	2182	1100	654
1117529	383638	33865	20272	14957	15750	7883	1755
1435393	438395	49341	8285	7068	7799	8029	2480
657023	84408	2174	10663	8551	9489	4926	3713
2760905	184509	58076	54306	14108	8314	3645	3243
271025	62983	30962	1033	10643	9385	2146	1558
425399	62572	9695	8998	12750	7279	3443	1228
670704	36086	30175	8745	17314	4862	7762	3603
1984196	1041925	62680	43912	15105	42740	13544	10621
263024	27286	8135	11065	6589	4465	1705	790
805124	23870	3525	6313	14281	2513	4605	632
1103291	93250	11286	52658	15110	6560	2852	2709
768643	337688	15278	11212	9236	8977	4423	3325
599869	124782	4984	2490	5412	7040	3763	1518
1353117	27776	53493	1600	20289	3473	1487	818
110587	68358	11200	5652	2980	2262	1110	458
1227190	276538	13167	29211	16580	4511	1418	1360
171235	36272	6859	512	3225	2934	1398	641
266325	22099	4646	6717	5157	682	384	707
327651	10334	7218	4839	6079	3047	1623	805
677745	40910	15393	22363	15119	4005	2611	639
482241	177778	40663	22838	7416	5773	3644	4414
1509176	209089	39361	97902	55462	39414	17514	4152
2080347	52095	19107	22363	6189	4202	4601	1292
372446	40560	7205	539	3415	1116	290	286
