2019-11-21 20:11:23.430670
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2,0,0,0,1586603,352756,38154,32063,72515,31115,10992,3634
3,0,0,0,1063422,100842,33574,47825,5935,9974,4763,1416
4,0,34,30,915308,460149,75405,30682,14452,21269,2214,2712
5,0,38,44,288713,12775,2031,5176,4528,1515,421,302
6,0,35,67,1480906,422248,84723,24434,24948,59566,22317,10929
7,0,40,83,48816,12044,5105,1203,2653,1438,1421,695
8,0,48,97,1102236,64965,17299,5634,1425,5597,1896,964
9,0,44,100,1734669,126575,33395,21546,13722,27056,9509,5098
10,0,53,100,2003382,70538,12150,45143,33071,48025,15783,11372
11,0,50,91,779235,91491,34766,8997,23083,11003,102919,6675
12,0,53,100,848484,129149,37297,32018,13278,45807,22953,8098
13,0,53,96,159741,17075,6154,2345,2555,7107,3161,700
14,0,38,87,356718,48870,2008,7869,11901,12119,1536,758
15,0,29,88,843349,248370,8555,45804,21298,25868,21200,2814
16,0,23,53,332416,49459,7628,7520,7022,1339,4006,442
17,0,16,38,241081,40379,5117,4815,3159,4164,3006,540
18,0,35,29,70222,27493,6965,10064,1383,4574,1389,373
19,0,44,37,40121,6825,2523,313,823,988,619,95
20,0,54,43,1909834,97353,46346,15163,24537,5094,10288,2212
21,0,50,41,823335,192480,8220,24382,12863,16484,5022,1980
22,0,37,17,352653,214836,39930,7842,6352,5251,2914,1978
23,0,21,16,123379,24025,2192,1248,1644,2954,831,305
24,0,21,24,1340298,67890,22157,16120,13779,5550,9949,7449
25,0,17,7,111500,60760,3081,4840,1927,1639,971,738
26,0,29,27,104827,30491,16035,2126,2900,3828,2214,1544
27,0,41,27,1736890,68325,17930,6179,7070,9688,9244,2932
28,0,34,47,1026613,129450,31716,12454,7834,32666,12187,3968
29,0,63,67,1955975,35548,27581,15821,3800,8014,8121,2168
30,0,40,56,1690638,1375221,103632,59843,16880,56608,55599,18524
31,0,35,41,1557337,999953,185300,23873,30218,43172,108296,11826
32,0,17,37,72505,38198,2487,925,2984,5734,2204,473
33,0,4,27,1129482,496273,169631,40037,20756,42244,24807,9502
34,0,16,26,121733,384737,78626,5297,4106,15153,13577,3414
35,0,24,34,183237,36885,9858,1939,1040,2702,960,441
36,0,41,34,862234,46693,3842,11236,9028,8523,8088,2086
37,0,30,44,666859,92961,10058,12377,8938,16245,5496,1659
38,0,41,51,760870,54593,14215,13077,6371,4066,1726,1127
39,0,44,56,20252,4591,1806,680,1705,504,216,111
40,0,54,38,1071878,64879,26781,9565,7128,4087,2422,839
41,0,48,23,635293,87382,5022,5431,3046,3874,1951,679
42,0,38,38,468961,74734,7883,16880,30894,15977,13342,1217
43,0,34,34,1731640,155135,21729,26930,25955,10112,16265,1168
44,0,11,40,556773,340274,26638,18799,30300,25061,9380,4078
45,0,27,54,1267979,90462,23217,25408,20436,16562,4899,2992
46,0,27,26,1769771,274656,43243,15832,14875,7588,9839,5028
47,0,21,29,219624,220168,35051,11397,25246,17321,19894,3794
48,0,17,44,134568,23344,1015,2050,4701,4708,2729,1856
49,0,23,51,664957,20590,11448,5565,4659,7710,8747,1687
50,0,50,64,422699,28162,55529,10158,5490,4979,1740,503
51,0,60,56,351335,92116,31367,8936,12798,4748,2971,2882
52,0,96,47,502279,26798,43936,23163,15599,10063,4877,2518
53,0,87,37,266284,18319,3726,3822,3186,2797,3118,320
54,0,56,44,706159,385646,52515,19957,14676,39033,14465,10799
55,0,43,48,2300341,858578,115276,13432,21088,45349,15782,13543
56,0,16,34,727127,158969,29995,5782,24297,7150,3329,1533
57,0,21,29,261120,58224,30672,5851,14308,7253,1831,604
58,0,40,29,629578,26463,22430,4312,7332,4550,1741,1098
59,0,54,40,290519,163044,66084,14271,11730,20995,18215,3517
60,0,78,51,160232,14029,9906,11247,1583,3197,1475,274
61,0,54,40,174186,216249,7020,6486,4168,8199,4415,1564
62,0,27,37,434426,155142,13119,2190,3389,10679,3263,1553
63,0,35,43,360047,57487,22707,33678,22672,15809,22162,9300
64,0,17,56,923049,64252,18285,7872,2853,22394,13267,3357
65,0,37,78,1704040,167319,34745,28367,28105,38181,12439,9624
66,0,54,88,935085,30128,11716,4464,5878,6145,1936,2203
67,0,48,100,347701,19557,9548,3056,4959,12332,3384,1714
68,0,51,74,380188,44256,7665,10662,1044,1931,2349,1228
69,0,40,54,848856,258555,11674,18049,4601,12655,10340,1365
