2019-11-21 04:41:36.839036
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2,25,0,0,1685849,54978,7508,17632,7383,4584,2256,1693
3,26,0,0,1358404,84141,39850,29921,5482,9528,10078,2571
4,26,0,0,2099429,70979,1401,47999,18030,5440,12903,3571
5,0,0,0,177020,127237,37932,13821,48954,7702,4042,1908
6,0,0,0,1203305,32772,7079,10839,15375,7040,4676,1626
7,0,30,53,685850,22072,4921,4975,11784,8894,1384,537
8,0,30,53,1351641,310206,92674,199275,34575,57565,17045,5365
9,51,30,53,1066550,49535,36300,52863,44045,26412,5951,7933
10,51,30,53,206791,80934,92117,45783,41860,25885,34599,35398
11,51,30,53,623483,132035,20998,21892,60600,18511,11526,2881
12,26,30,53,1966558,78181,41733,40771,44693,23913,8795,10397
13,51,30,53,246331,7573,8510,5173,5958,3962,2691,655
14,26,30,53,975173,20666,13386,2260,6869,6084,1995,1114
15,51,30,53,550550,23868,8266,12685,5805,7204,901,349
16,51,30,53,1934246,86777,8393,32165,49250,14920,10898,1905
17,26,30,53,1584285,212885,56686,49228,23541,17780,11984,3262
18,26,30,53,1013351,19994,10244,7036,19754,6185,2795,1549
19,26,30,53,784604,126111,39957,23590,15356,37162,7477,6443
20,51,30,53,1250788,327988,51828,96697,247958,136174,49340,10642
21,51,30,53,828930,85928,49816,26998,20435,12925,6054,9642
22,51,30,53,1541440,144147,53260,47805,37867,107363,98400,30808
23,51,30,53,224464,340155,41952,47553,65317,152406,40028,27847
24,51,30,53,1725625,82492,35709,25993,73607,18327,3579,3173
25,26,30,53,2081678,64069,21244,18971,19183,10733,4594,4687
26,25,30,53,972689,487583,93103,61244,361822,279818,90047,228023
27,51,30,53,1898202,216521,40454,68576,149872,161166,18155,24000
28,51,30,53,890542,55964,9867,45067,81297,72906,34786,27989
29,51,30,53,512054,285320,63431,79186,147275,60785,49690,119359
30,26,30,53,2018287,105542,125478,93970,95397,55371,30572,44022
31,51,30,53,422884,220488,48662,6995,50565,71069,27230,26794
32,51,30,53,891271,452660,9534,26272,65379,89553,36868,40368
33,51,30,53,420402,97480,134621,55991,84650,25560,20341,4179
34,51,30,53,1690033,294442,90097,42893,101127,220463,110597,145179
35,51,30,53,484827,17391,27459,17082,11425,15404,8434,15773
36,51,30,53,879717,203089,185993,236904,444143,250451,296671,181514
37,26,30,53,2056235,220090,237135,63868,154791,191940,77111,88123
38,26,30,53,681320,181627,15609,70461,54962,45970,45521,89405
39,26,30,53,73673,77112,31475,35688,14819,19856,27909,11867
40,26,30,53,1163864,114417,88120,33020,60465,36529,52561,130863
41,26,30,53,1478548,133406,22024,167281,94728,53393,27797,56603
42,26,30,53,960951,313591,167393,34696,39552,52003,78139,22721
43,26,30,53,3071782,1110902,112101,761372,183372,280874,160279,229976
44,26,30,53,908774,92080,26920,62958,42261,46715,89950,67891
45,26,30,53,614329,134857,17161,80060,31664,44259,27079,28718
46,26,30,53,1531453,259038,136000,173876,42821,49513,54199,120649
47,26,30,53,544477,271887,19002,21702,17874,53223,16244,28182
48,51,30,53,1025943,33425,30582,45721,27850,27674,122795,37121
49,26,30,53,432868,108139,24722,26888,42536,108790,75362,62673
