2019-11-20 23:13:20.692481
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2,25,0,0,306025,42953,6728,5533,1661,1505,876,332
3,0,0,0,1171823,108017,19109,5033,14467,3971,2357,898
4,0,0,0,91592,31143,4732,3545,1177,1451,650,253
5,0,56,30,547927,241344,60969,8195,5808,3903,1125,1459
6,0,54,40,920477,177895,12031,22717,8184,6330,1685,991
7,0,66,43,295687,201857,27432,28846,5519,5689,2924,666
8,0,90,50,1192514,142598,35234,14782,12158,5485,1780,887
9,0,96,64,119581,133898,33870,11640,3506,4401,2489,935
10,0,100,54,444792,114072,44808,7976,6459,3433,2386,502
11,0,91,41,160132,330255,14223,24482,5346,3847,889,1397
12,0,91,43,242799,109735,83607,9245,1321,6300,1945,836
13,0,81,44,481205,88699,14648,34537,9365,4089,2086,1398
14,0,66,47,304601,88149,25517,12615,7659,2963,2801,785
15,0,100,47,305456,130959,119755,2244,5480,2985,2013,867
16,0,77,26,190171,223875,29623,17575,5541,3176,2042,771
17,0,87,30,828927,59132,27713,28612,6420,4141,785,947
18,0,60,13,167221,258410,18155,6778,11602,2633,1902,1229
19,0,44,24,619875,36054,4515,9356,2968,943,608,221
20,0,41,48,174977,114975,9824,9339,12043,5267,1363,674
21,0,29,27,272633,92769,32990,12806,9072,1803,1267,766
22,0,51,47,1707951,312989,55140,43524,16281,9260,7006,3020
23,0,37,29,152472,232120,29331,4861,1879,1359,1474,280
24,0,40,40,683660,85088,12565,5486,7914,7032,2685,548
25,0,51,54,1108970,40055,9336,45649,8492,1957,1019,1840
26,0,61,75,162528,9924,6068,3549,5207,1499,560,124
27,0,77,100,2220675,65109,22410,13023,23882,6103,3121,1478
28,0,69,94,309340,122182,13241,2192,3712,3400,1017,1696
29,0,30,83,1886512,725250,55791,28275,8585,9651,5313,1595
30,0,37,74,256278,11809,7011,4151,1791,891,395,1010
31,0,53,57,499201,23473,52895,8034,3049,1776,1574,1020
32,0,61,50,336728,222158,52178,6787,4713,4012,1791,853
33,0,66,61,1110452,177285,7901,24519,8453,5235,3220,655
34,0,37,47,4410,129252,18009,1863,2156,2118,420,209
35,0,16,61,440716,78932,35165,2769,3336,6360,2900,598
36,0,16,67,283795,85696,17164,9913,23694,2431,2076,828
37,0,20,60,400973,173753,33467,7815,7886,3567,1725,680
38,0,27,75,916032,143743,29131,13658,12619,6733,7614,3394
39,0,24,80,354023,206085,48731,60786,83234,44636,16036,3752
40,0,37,91,954474,390211,221087,117435,85828,55866,28772,9013
