2019-09-22 00:15:46.390102
Time,Poor Signal Level,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2.0939102172851562,25,0,0,28553,17517,791,1131,3327,4665,4001,809
3.0896477699279785,0,0,0,149446,195416,72516,44587,101712,57683,31880,3977
4.1047444343566895,0,0,0,950016,283918,31730,10872,13152,17427,7927,3867
5.0951337814331055,0,35,53,50483,8374,3596,3827,4150,54476,6626,4346
6.1968324184417725,0,44,57,6984,19708,10323,7119,7519,34942,12240,2895
7.227529287338257,0,48,66,110735,20506,7588,5851,7981,45567,30423,7481
8.227339744567871,0,37,81,20567,8466,2028,1613,7386,44377,11983,6203
9.200371265411377,0,48,77,10874,7361,3595,4818,8181,23174,11202,7348
10.190151929855347,0,53,75,11892,10750,5346,7131,8048,16764,5466,8032
11.22215485572815,0,43,63,586530,80411,6427,2671,2937,13086,3349,659
12.185033559799194,0,56,56,9210,23840,5368,4585,5835,32725,7016,7005
13.177973747253418,0,57,53,23090,19695,9862,2723,2705,28660,9592,10640
14.234007596969604,0,41,60,15189,12169,5007,4234,16416,51273,18929,7382
15.189028263092041,0,69,64,437405,11947,12784,4496,2853,12146,2511,3461
16.085808038711548,0,83,63,70361,39924,28502,3093,8455,47340,16433,4213
17.097450494766235,0,80,66,34510,4480,1568,4124,7451,17726,13621,8153
18.10115694999695,0,90,54,79958,16940,3812,3144,3464,6526,4502,1807
