2019-11-09 12:35:46.466015
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2,51,0,0,3073,772,112,100,89,30,14,21
3,25,0,0,34332,3216,661,331,396,401,90,168
4,0,0,0,1368937,84914,29580,97509,69127,99254,24436,13154
5,51,0,0,10629,5833,2394,436,318,44,22,6
6,25,0,0,170082,51143,6630,5927,2156,1627,929,543
7,0,0,0,431309,100438,85323,17908,22074,51919,12939,4428
8,0,34,40,1770617,28305,3916,4381,5677,1975,1378,492
9,0,38,44,713737,23994,7756,4226,2525,4066,1553,392
10,0,20,37,223084,39483,1008,3811,4899,874,2106,575
11,0,11,37,522856,57389,7099,6138,8475,4565,2368,735
12,0,20,30,638186,186013,35115,26073,12278,8886,9492,5134
13,0,26,29,118672,16043,6400,2625,1959,2111,3283,1005
14,0,43,38,87880,28116,5344,2340,1631,1989,1048,566
15,0,66,43,36260,6482,3855,1741,2523,1190,1168,511
16,0,80,53,47324,27500,7620,15708,6340,5373,3260,3558
17,0,57,51,186089,116189,16486,6822,14747,8506,1744,1420
18,0,80,44,3162650,236203,105269,92857,26987,12681,11222,2949
19,0,50,38,24366,53913,2797,4734,1416,3740,3597,2524
20,0,56,38,81750,37114,45511,11171,3821,8854,7586,1783
21,0,66,51,24041,23160,5102,6647,9251,9935,5167,2521
22,0,53,69,16431,26313,11741,5371,7179,8265,5212,3006
23,0,64,81,61611,37146,3698,11006,17266,10202,5687,2426
24,0,47,70,265558,704235,207743,91856,59724,36381,22262,10460
25,0,35,60,359008,34337,2946,3162,1757,3321,3172,1153
26,0,24,53,30176,26114,5121,2640,5149,3618,857,548
27,0,27,40,3861408,495652,26463,132639,27803,27396,23763,7051
28,0,8,38,992420,315435,9252,38162,22765,11166,9983,8904
29,0,37,38,601425,578801,412773,226692,196721,99157,17361,29812
30,0,38,51,305221,9433,3109,1333,2204,5881,495,823
31,0,30,50,1959240,728157,139353,13037,33543,32898,26473,2699
32,0,63,63,14993,10570,2983,6689,1111,2283,1333,1070
33,0,57,69,66378,21719,6620,17240,13288,7006,9502,6656
34,0,74,56,111916,107561,40908,34654,16625,20737,6672,3320
35,0,75,56,75760,155232,28704,6882,6360,6686,2052,2917
36,0,61,44,1342681,134396,33687,17921,5310,5882,7115,4082
37,0,47,56,780232,14333,4187,5296,11501,13949,11828,2937
38,0,47,69,30770,14271,9710,9291,4213,15247,12106,19284
39,0,43,96,32305,6062,2261,3993,17939,12222,16881,10258
40,0,51,100,21420,7583,4125,7269,8557,5509,9079,8925
41,0,47,100,6394,28580,4789,3081,8391,8442,8028,5254
42,0,21,100,5898,20822,3416,2863,6818,16967,18455,6649
43,0,37,91,14433,44633,1587,18990,3664,7838,10110,8501
44,0,35,75,353608,84334,35137,12409,4843,5440,4489,3082
45,0,35,53,319744,39964,4996,2380,2002,1113,461,504
46,0,47,21,946322,116023,28416,11608,6453,2829,5520,2592
47,0,29,20,52446,12589,1860,863,3031,1414,1058,1216
48,0,38,23,109591,10893,5168,6770,2489,1363,2773,599
49,0,35,27,257894,38997,5889,852,4456,2257,803,887
50,0,40,40,73660,29862,8649,6668,3275,2907,1310,1078
51,0,74,43,446698,16488,11801,12279,4976,5574,2105,610
52,0,51,30,117542,25754,6164,755,864,572,867,204
53,0,78,35,703843,31023,19625,9928,11376,4061,1237,2226
54,0,66,30,2073558,288555,35243,37623,37312,15202,9101,6370
55,0,43,14,375773,287785,71082,9899,13919,7937,4163,5376
56,0,64,29,281057,36238,29700,6249,5780,6037,3893,1743
57,0,57,30,22920,7327,3149,1317,1444,931,196,217
58,0,81,26,906960,117823,95462,21532,30471,5605,6764,3086
59,0,84,40,73715,4993,1448,808,1496,818,115,84
60,0,54,38,313520,98185,14635,1629,5052,7383,1525,528
61,0,63,37,1066606,148125,96230,43129,27429,22373,14028,3154
62,0,41,47,99785,68076,14190,6128,7500,5506,1447,334
63,0,47,44,27496,18039,5873,3140,3102,2324,4927,791
64,0,81,56,15289,5998,3044,13418,4739,5298,5077,2023
65,0,69,60,1115878,338720,116992,21363,23931,52517,16429,2578
66,0,64,41,344570,65729,6998,6670,3425,747,1842,743
67,0,70,43,235913,40156,27849,2907,10086,7215,4254,2310
68,0,51,38,107349,132755,36849,23159,19521,27912,14409,22619
69,0,56,35,1561837,80619,28304,16753,9847,8425,5420,1546
70,0,50,43,976217,428130,15681,49110,18869,13109,35231,5748
71,0,23,43,978317,165603,17810,6448,7642,18810,13445,12255
72,0,1,26,487957,128969,4371,9260,4960,3116,3958,2073
73,0,3,23,710348,86417,29603,20975,5583,6295,7052,4562
