2019-11-09 00:54:17.431344
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2,25,0,0,21247,3537,889,523,310,268,161,356
3,25,0,0,940115,11421,45183,20662,47698,15794,4619,3077
4,0,0,0,1438382,13414,3564,7388,29805,37032,10166,4495
5,0,0,0,93659,7847,4512,1700,8498,1764,718,184
6,0,0,0,667260,52065,5289,16598,5311,7653,916,855
7,26,0,0,724767,49876,11184,3924,6755,2139,2379,838
8,26,0,0,282941,19726,3072,10146,6842,5904,3465,1996
9,26,0,0,939306,4983,4593,2786,5948,6191,4308,498
10,26,0,0,1783791,18241,883,1234,924,3561,3261,699
11,52,47,30,109039,31018,16156,3778,1735,1855,1091,272
12,0,38,23,329467,66529,7741,2017,2095,2679,439,366
13,0,43,16,1315992,369583,168997,17504,30379,29201,7303,7450
14,0,37,8,229758,134932,16900,9473,7287,5643,1390,952
15,0,40,8,495312,44033,26401,6540,4511,2610,902,943
16,0,51,13,1142995,277781,65004,61259,7707,32840,5500,3765
17,0,47,16,902690,30061,5926,5291,3385,4866,2318,831
18,0,56,23,139579,26359,7645,5807,1528,4167,600,477
19,0,38,24,1858132,191895,14195,13453,12420,8733,4178,3208
20,0,37,23,92989,79698,27453,4283,8519,8592,6448,1928
21,0,38,20,674074,268194,66864,36143,24472,20385,9546,2054
22,0,35,20,833512,113963,33826,11828,22982,16609,1416,901
23,0,35,17,245337,114281,11354,5759,8185,4414,7474,4679
24,0,48,17,626290,20874,33906,9406,13104,6406,6049,3729
25,0,37,16,209712,113774,1606,13288,8758,4450,1286,423
26,0,47,21,669292,112220,95476,47933,30477,66883,3440,4433
27,0,63,27,279910,4212,3163,2340,2047,1019,210,373
28,0,54,27,59935,40038,20716,13112,26986,7635,5852,4073
29,0,83,37,109836,4639,13959,2433,2881,3666,745,384
30,0,67,35,1102414,25557,3703,2783,3706,5254,2083,572
31,0,57,37,56064,54192,6732,17192,9135,12583,7837,4277
32,0,64,38,323914,44124,31224,18367,6783,12533,6701,3564
33,0,56,37,1674609,125280,90761,35478,14837,31938,23071,5370
34,0,51,35,179610,8788,419,1038,2803,1396,1083,548
35,0,34,51,1108536,7996,1258,1900,27384,33308,10773,1292
36,0,34,51,35753,1551,352,253,1021,3409,324,50
37,26,34,51,1277195,16383,9061,4979,2138,5148,1620,448
38,26,34,51,786871,21477,3919,3576,8156,4128,7009,378
39,26,34,51,11036,1101,573,176,572,6712,39,72
40,26,34,51,2314647,24923,4486,2117,31563,5407,33797,2836
41,26,34,51,2463333,41638,18928,4571,22205,21256,14413,2380
42,26,17,47,1897702,79342,5549,14917,28936,6373,14443,1251
43,0,17,47,889694,7657,28,5502,8208,3909,2711,249
44,26,17,47,978633,69653,46503,22545,9533,16837,4250,2865
45,0,21,44,1194128,144808,11693,13527,37346,13069,18416,1222
46,0,40,20,743647,82391,14319,16210,26017,3853,7783,1491
47,0,41,35,1617806,9710,4188,5755,21620,19408,15059,1629
48,0,27,38,572885,30730,3663,5660,9042,7412,887,817
49,0,24,30,759598,228663,5539,19268,3315,6831,2965,718
50,0,38,35,1276815,115941,98263,65078,30318,15651,11992,2926
51,0,47,13,758785,39633,9811,7373,4403,1231,1128,1031
52,0,60,11,797473,59449,41700,29414,8869,19996,4406,2354
53,0,77,17,61626,21873,5244,8472,2392,3219,2130,686
54,0,64,11,1273240,457468,92371,57199,13233,7758,10065,3746
55,0,48,20,242069,37117,1242,2297,6556,4021,881,1142
56,0,38,20,100772,12889,4792,1669,2077,3432,990,447
57,0,26,17,545067,302721,41277,10370,17765,20339,5249,1721
58,0,35,24,527090,88689,54547,49246,23912,11148,2666,5485
59,0,51,17,248274,82247,19666,12212,9694,2802,1362,460
60,0,43,13,1729892,152091,19187,11071,10213,14198,11360,1609
61,0,48,13,242300,99176,8593,16317,12035,8046,5034,2689
62,0,26,7,764957,490268,32883,21578,7315,10135,2380,2352
63,0,16,10,1098300,264936,36310,5832,16422,14811,3806,3475
64,0,30,16,85764,5938,2043,4636,422,3118,769,225
65,0,30,17,852054,278886,50501,37634,88309,25228,7278,3787
66,0,30,17,780409,22392,1360,9265,3397,8632,2002,582
