2019-09-24 15:11:32.612189
Time,Poor Signal Level,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2.201671600341797,25,0,0,27,4,1,1,1,0,0,0
3.2258543968200684,25,0,0,170999,247320,22953,16992,15556,8619,10688,7272
4.216622829437256,0,0,0,1556056,40201,35378,25549,13125,7861,3759,4482
5.246781826019287,51,0,0,846138,286624,273779,35846,62129,251928,91456,22449
6.191449165344238,0,0,0,587641,60646,24518,16955,7931,11765,7804,3832
7.20435357093811,0,0,0,1320060,969272,241221,430578,279907,214681,34570,50131
8.217392206192017,51,0,0,594207,120607,35738,40507,28240,58250,51222,50649
9.201031684875488,26,0,0,757929,60943,37563,52895,67129,24134,18208,8471
10.198065042495728,26,44,34,784352,108330,34070,12276,7825,6741,6988,2091
11.211268186569214,0,66,35,972148,78219,107138,28069,35411,22283,20911,12581
12.154106855392456,0,80,40,303783,35175,24538,2781,6267,10194,5760,5059
13.087690591812134,0,97,37,1048822,33071,20005,14874,9926,4368,4910,957
14.100919485092163,0,100,48,2187137,124058,34920,68174,71659,40359,32457,28990
15.09493613243103,0,80,35,508500,379347,74435,31606,35653,10088,33318,8605
16.0865581035614,0,90,37,580893,30139,48366,20366,15081,16094,14277,5930
17.101621389389038,0,77,43,921510,51224,8994,16801,16574,12162,9752,2271
18.190385341644287,0,57,34,536300,389257,34739,16600,27660,25864,25828,3535
19.17995810508728,0,63,47,1316757,192366,64452,22357,18357,25695,28902,9505
20.213542938232422,0,43,41,628790,50308,3171,17675,14244,7022,11392,12464
21.19070291519165,0,26,40,488787,346291,19743,22008,22409,46024,40919,22348
22.19748830795288,0,54,44,466656,127297,123258,4877,24289,24808,9320,2261
23.21169424057007,0,50,38,183590,572495,131832,25863,19102,31022,21922,11662
24.200602769851685,0,56,40,1314074,87466,33681,39904,26798,19313,14965,1511
25.197588205337524,0,83,48,163574,46099,48375,16810,24190,37988,12599,5769
26.22440195083618,0,60,51,197063,59288,4036,8281,6870,8667,3796,3419
27.205178260803223,0,63,48,727204,143776,34643,13365,13652,6361,16177,11523
28.146992921829224,0,53,47,2288530,1785398,385056,178298,226883,207152,257234,127503
29.10329818725586,0,35,40,1744110,158591,24038,14007,15889,30881,19938,4104
30.09432625770569,0,50,34,756880,173438,52053,41467,34325,15114,15047,16203
31.08730959892273,0,57,41,1655786,126745,61383,34949,20194,19429,15271,10142
32.10736131668091,0,57,40,1591617,378557,79849,33868,72006,34295,50456,13624
33.10122728347778,0,60,29,1883664,620173,126252,36796,37842,35929,26011,7771
34.19603157043457,0,54,35,717445,246087,58788,47597,64245,36451,41155,21311
35.177695512771606,0,27,30,938042,606276,21440,48815,78520,40882,77981,46481
36.225218296051025,0,40,35,669120,280075,64958,104831,21051,45814,47647,62043
37.25023913383484,0,56,38,2527058,641285,444960,90829,162946,93111,133667,52375
38.192633390426636,0,57,40,1945935,93473,4908,41408,34718,16587,37021,32327
39.19122362136841,0,81,50,2408831,606780,82639,392987,194787,214433,268695,53038
40.19537353515625,0,93,50,765200,49107,95634,21168,9003,15751,25856,7725
41.20639157295227,0,78,51,1443988,925481,202249,121313,134139,115137,77545,19285
42.216736793518066,0,78,51,1462160,332063,182025,26318,50235,64208,79935,33266
43.18766522407532,26,80,53,842655,282050,102540,145789,158426,89405,41692,46466
44.149680376052856,0,64,44,435373,122540,10423,17674,13188,10761,5113,4425
45.10598421096802,0,50,37,657981,369962,137112,85494,55354,19965,19757,23881
46.09481143951416,0,57,30,2822744,589562,227184,103571,25835,48312,22422,8327
47.08925151824951,0,61,24,1135200,45155,21777,19940,15865,6030,13091,2765
48.10306525230408,0,69,20,1698427,220547,93378,14234,36287,13186,18143,9120
49.09228515625,0,50,26,175526,62091,1633,6110,2659,5313,2588,3586
50.1957733631134,0,50,34,237760,16881,8695,1033,1246,2569,8457,1762
51.21033000946045,0,51,38,951873,161204,96722,46999,18777,31355,13258,3560
52.19499921798706,0,44,41,113376,107071,21437,8854,9486,8469,2800,2597
53.19799304008484,0,69,47,763912,63880,28566,30636,8162,17159,5587,5682
54.20909905433655,0,54,44,479881,166855,8478,21100,29743,15910,13798,3768
55.19744277000427,0,38,40,352995,173821,10139,43711,65436,13395,9356,4507
56.192251205444336,0,56,44,847458,123654,70025,62988,13166,26515,27991,4100
57.217188596725464,0,56,44,632407,50948,25144,36656,12392,15484,1599,951
58.19089150428772,26,56,44,594196,5562,3556,1611,3656,2015,1755,310
59.23627161979675,26,44,53,2133909,37919,15651,17543,51983,25019,4746,6606
60.141666889190674,0,54,56,371939,280951,33764,73896,57287,37049,29638,3041
61.10001754760742,0,63,70,1373572,13628,4068,5840,5177,7788,5806,1502
62.0932400226593,0,63,70,1297481,574020,363168,187804,62195,62177,52517,47915
63.08349299430847,26,63,70,1144163,73329,9960,16445,37711,18301,13025,6470
64.1023759841919,51,63,70,265368,284437,38788,74234,34172,152393,44373,25726
65.0929605960846,51,63,70,457897,203148,41180,56175,63232,55665,17577,22039
66.18163990974426,26,41,70,2524215,1490938,73114,333858,307762,200649,111681,54714
67.20100808143616,0,48,63,190576,7613,3309,2138,2219,1651,1686,398
68.21953964233398,0,38,54,158466,148505,14837,7985,7985,6871,5529,858
